Mach,CD Power-On
0.01,0.672123701
0.02,0.592273341
0.03,0.552285218
0.04,0.526469561
0.05,0.507765695
0.06,0.493279717
0.07,0.481560494
0.08,0.471783657
0.09,0.466042885
0.1,0.463147713
0.11,0.463056775
0.12,0.462971242
0.13,0.462891201
0.14,0.462816664
0.15,0.462747718
0.16,0.462684432
0.17,0.462626857
0.18,0.462575109
0.19,0.462529239
0.2,0.462489337
0.21,0.46245552
0.22,0.462427897
0.23,0.46240652
0.24,0.462391595
0.25,0.462383183
0.26,0.462669594
0.27,0.462962587
0.28,0.463262319
0.29,0.463568931
0.3,0.463882661
0.31,0.464203638
0.32,0.464532072
0.33,0.4648682
0.34,0.465212194
0.35,0.465564302
0.36,0.465924803
0.37,0.466293945
0.38,0.466671989
0.39,0.467059253
0.4,0.467456087
0.41,0.467862769
0.42,0.468279728
0.43,0.468707286
0.44,0.469145899
0.45,0.469595997
0.46,0.47005804
0.47,0.470532537
0.48,0.471020065
0.49,0.471521098
0.5,0.47203635
0.51,0.472566472
0.52,0.473112135
0.53,0.473674127
0.54,0.474253296
0.55,0.474850523
0.56,0.475466766
0.57,0.476103076
0.58,0.476760599
0.59,0.477221068
0.6,0.47770533
0.61,0.478729293
0.62,0.479761295
0.63,0.480821526
0.64,0.481911915
0.65,0.483034618
0.66,0.484191948
0.67,0.485386493
0.68,0.486621093
0.69,0.487898985
0.7,0.489223749
0.71,0.489424915
0.72,0.489553692
0.73,0.489682171
0.74,0.489810418
0.75,0.489938374
0.76,0.490066107
0.77,0.490193528
0.78,0.490320697
0.79,0.490447591
0.8,0.490574288
0.81,0.493566821
0.82,0.496559108
0.83,0.499551147
0.84,0.50254288
0.85,0.505534402
0.86,0.508525637
0.87,0.51151664
0.88,0.514507384
0.89,0.517497837
0.9,0.520488077
0.91,0.524027396
0.92,0.534645353
0.93,0.545072249
0.94,0.549999107
0.95,0.554925965
0.96,0.559852823
0.97,0.564779681
0.98,0.569706538
0.99,0.574633396
1,0.579560254
1.01,0.584487112
1.02,0.58941397
1.03,0.594340827
1.04,0.599267685
1.05,0.604194543
1.06,0.601239087
1.07,0.598317524
1.08,0.595429295
1.09,0.592573824
1.1,0.589750512
1.11,0.58695885
1.12,0.584198315
1.13,0.581476593
1.14,0.578797152
1.15,0.576154568
1.16,0.573273672
1.17,0.570417845
1.18,0.567596245
1.19,0.564808163
1.2,0.561967521
1.21,0.559113161
1.22,0.556290574
1.23,0.553499322
1.24,0.550738897
1.25,0.548008912
1.26,0.545308932
1.27,0.542638598
1.28,0.53999753
1.29,0.537385394
1.3,0.534801826
1.31,0.532246507
1.32,0.529719139
1.33,0.527219406
1.34,0.524747034
1.35,0.522301729
1.36,0.519883219
1.37,0.517491251
1.38,0.515125568
1.39,0.512785918
1.4,0.510472066
1.41,0.50818378
1.42,0.50592083
1.43,0.503682989
1.44,0.501470071
1.45,0.499281867
1.46,0.497118144
1.47,0.494978744
1.48,0.492863456
1.49,0.490772118
1.5,0.488704522
1.51,0.486660514
1.52,0.484639919
1.53,0.482642583
1.54,0.480668313
1.55,0.478716996
1.56,0.476788441
1.57,0.474882519
1.58,0.472999087
1.59,0.471137996
1.6,0.469299105
1.61,0.467482305
1.62,0.465687439
1.63,0.463914381
1.64,0.462163027
1.65,0.460433244
1.66,0.458724912
1.67,0.457037911
1.68,0.455372158
1.69,0.453727507
1.7,0.452103852
1.71,0.450501125
1.72,0.448919193
1.73,0.447357966
1.74,0.445817363
1.75,0.444297251
1.76,0.442797576
1.77,0.441318238
1.78,0.439859126
1.79,0.438420202
1.8,0.437001336
1.81,0.435677998
1.82,0.434350726
1.83,0.433034864
1.84,0.43173033
1.85,0.43043705
1.86,0.429154951
1.87,0.427883963
1.88,0.426624005
1.89,0.425375038
1.9,0.424136977
1.91,0.422909765
1.92,0.421693326
1.93,0.420487618
1.94,0.419292584
1.95,0.418108152
1.96,0.416934262
1.97,0.41577086
1.98,0.414543144
1.99,0.413325814
2,0.412118826
2.01,0.411003411
2.02,0.409893996
2.03,0.408799423
2.04,0.407719562
2.05,0.406654276
2.06,0.405603406
2.07,0.40456686
2.08,0.403544487
2.09,0.40253617
2.1,0.401541791
2.11,0.40056125
2.12,0.39959441
2.13,0.398641187
2.14,0.39770146
2.15,0.396775152
2.16,0.39538397
2.17,0.393931384
2.18,0.392488895
2.19,0.391056358
2.2,0.389633647
2.21,0.388220599
2.22,0.386817111
2.23,0.385423044
