Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.62755491,0.62755491,0.616550895,0.62755491,0.616550895,0,0,0,0,14.12994086,104.7167721,101.0661961,811034.6
0.02,0,0.548599202,0.548599202,0.537595186,0.548599202,0.537595186,0,0,0,0,14.12994086,104.7167721,101.0661961,1622069
0.03,0,0.509059431,0.509059431,0.498055415,0.509059431,0.498055415,0,0,0,0,14.12994086,104.7167721,101.0661961,2433104
0.04,0,0.483527749,0.483527749,0.472523734,0.483527749,0.472523734,0,0,0,0,14.12994086,104.7167721,101.0661961,3244138
0.05,0,0.46502204,0.46502204,0.454018025,0.46502204,0.454018025,0,0,0,0,14.12994086,104.7167721,101.0661961,4055173
0.06,0,0.450681001,0.450681001,0.439676986,0.450681001,0.439676986,0,0,0,0,14.12994086,104.7167721,101.0661961,4866208
0.07,0,0.43906999,0.43906999,0.428065975,0.43906999,0.428065975,0,0,0,0,14.12994086,104.7167721,101.0661961,5677242
0.08,0,0.429373962,0.429373962,0.418369947,0.429373962,0.418369947,0,0,0,0,14.12994086,104.7167721,101.0661961,6488276
0.09,0,0.421088453,0.421088453,0.410084438,0.421088453,0.410084438,0,0,0,0,14.12994086,104.7167721,101.0661961,7299312
0.1,0,0.413881037,0.413881037,0.402877022,0.413881037,0.402877022,0,0,0,0,14.12994086,104.7167721,101.0661961,8110346
0.11,0,0.407521813,0.407521813,0.396517798,0.407521813,0.396517798,0,0,0,0,14.12994086,104.7167721,101.0661961,8921380
0.12,0,0.401845589,0.401845589,0.390841574,0.401845589,0.390841574,0,0,0,0,14.12994086,104.7167721,101.0661961,9732415
0.13,0,0.396730048,0.396730048,0.385726033,0.396730048,0.385726033,0,0,0,0,14.12994086,104.7167721,101.0661961,10543450
0.14,0,0.392082232,0.392082232,0.381078217,0.392082232,0.381078217,0,0,0,0,14.12994086,104.7167721,101.0661961,11354480
0.15,0,0.387829843,0.387829843,0.376825828,0.387829843,0.376825828,0,0,0,0,14.12994086,104.7167721,101.0661961,12165520
0.16,0,0.383915864,0.383915864,0.372911849,0.383915864,0.372911849,0,0,0,0,14.12994086,104.7167721,101.0661961,12976550
0.17,0,0.380294283,0.380294283,0.369290268,0.380294283,0.369290268,0,0,0,0,14.12994086,104.7167721,101.0661961,13787590
0.18,0,0.376927805,0.376927805,0.36592379,0.376927805,0.36592379,0,0,0,0,14.12994086,104.7167721,101.0661961,14598620
0.19,0,0.373785491,0.373785491,0.362781476,0.373785491,0.362781476,0,0,0,0,14.12994086,104.7167721,101.0661961,15409660
0.2,0,0.370841694,0.370841694,0.359837679,0.370841694,0.359837679,0,0,0,0,14.12994086,104.7167721,101.0661961,16220690
0.21,0,0.368074639,0.368074639,0.357070624,0.368074639,0.357070624,0,0,0,0,14.12994086,104.7167721,101.0661961,17031730
0.22,0,0.365466041,0.365466041,0.354462026,0.365466041,0.354462026,0,0,0,0,14.12994086,104.7167721,101.0661961,17842760
0.23,0,0.363000084,0.363000084,0.351996069,0.363000084,0.351996069,0,0,0,0,14.12994086,104.7167721,101.0661961,18653800
0.24,0,0.360663213,0.360663213,0.349659198,0.360663213,0.349659198,0,0,0,0,14.12994086,104.7167721,101.0661961,19464830
0.25,0,0.358443646,0.358443646,0.347439631,0.358443646,0.347439631,0,0,0,0,14.12994086,104.7167721,101.0661961,20275860
0.26,0,0.356562136,0.356562136,0.345558121,0.356562136,0.345558121,0,0,0,0,14.12994086,104.7167721,101.0661961,21086900
0.27,0,0.354822764,0.354822764,0.343818749,0.354822764,0.343818749,0,0,0,0,14.12994086,104.7167721,101.0661961,21897930
0.28,0,0.353782081,0.353782081,0.342778066,0.353782081,0.342778066,0,0,0,0,14.12994086,104.7167721,101.0661961,22708970
0.29,0,0.352793943,0.352793943,0.341789928,0.352793943,0.341789928,0,0,0,0,14.12994086,104.7167721,101.0661961,23520000
0.3,0,0.351854379,0.351854379,0.340850364,0.351854379,0.340850364,0,0,0,0,14.12994086,104.7167721,101.0661961,24331040
0.31,0,0.350959854,0.350959854,0.339955839,0.350959854,0.339955839,0,0,0,0,14.12994086,104.7167721,101.0661961,25142070
0.32,0,0.350107162,0.350107162,0.339103147,0.350107162,0.339103147,0,0,0,0,14.12994086,104.7167721,101.0661961,25953110
0.33,0,0.350231985,0.350231985,0.33922797,0.350231985,0.33922797,0,0,0,0,14.12994086,104.7167721,101.0661961,26764140
0.34,0,0.350360088,0.350360088,0.339356073,0.350360088,0.339356073,0,0,0,0,14.12994086,104.7167721,101.0661961,27575180
0.35,0,0.350488225,0.350488225,0.33948421,0.350488225,0.33948421,0,0,0,0,14.12994086,104.7167721,101.0661961,28386210
0.36,0,0.350616472,0.350616472,0.339612457,0.350616472,0.339612457,0,0,0,0,14.12994086,104.7167721,101.0661961,29197250
0.37,0,0.350744772,0.350744772,0.339740757,0.350744772,0.339740757,0,0,0,0,14.12994086,104.7167721,101.0661961,30008280
0.38,0,0.350873161,0.350873161,0.339869146,0.350873161,0.339869146,0,0,0,0,14.12994086,104.7167721,101.0661961,30819310
0.39,0,0.351001619,0.351001619,0.339997604,0.351001619,0.339997604,0,0,0,0,14.12994086,104.7167721,101.0661961,31630350
0.4,0,0.351130128,0.351130128,0.340126113,0.351130128,0.340126113,0,0,0,0,14.12994086,104.7167721,101.0661961,32441380
0.41,0,0.351258744,0.351258744,0.340254729,0.351258744,0.340254729,0,0,0,0,14.12994086,104.7167721,101.0661961,33252420
0.42,0,0.351387428,0.351387428,0.340383413,0.351387428,0.340383413,0,0,0,0,14.12994086,104.7167721,101.0661961,34063450
