Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.62755491,0.62755491,0.616550895,0.62755491,0.616550895,0,0,0,0,14.12994086,104.7167721,101.0661961,811034.6
0.02,0,0.548599202,0.548599202,0.537595186,0.548599202,0.537595186,0,0,0,0,14.12994086,104.7167721,101.0661961,1622069
0.03,0,0.509059431,0.509059431,0.498055415,0.509059431,0.498055415,0,0,0,0,14.12994086,104.7167721,101.0661961,2433104
0.04,0,0.483527749,0.483527749,0.472523734,0.483527749,0.472523734,0,0,0,0,14.12994086,104.7167721,101.0661961,3244138
0.05,0,0.46502204,0.46502204,0.454018025,0.46502204,0.454018025,0,0,0,0,14.12994086,104.7167721,101.0661961,4055173
0.06,0,0.450681001,0.450681001,0.439676986,0.450681001,0.439676986,0,0,0,0,14.12994086,104.7167721,101.0661961,4866208
0.07,0,0.43906999,0.43906999,0.428065975,0.43906999,0.428065975,0,0,0,0,14.12994086,104.7167721,101.0661961,5677242
0.08,0,0.429373962,0.429373962,0.418369947,0.429373962,0.418369947,0,0,0,0,14.12994086,104.7167721,101.0661961,6488276
0.09,0,0.423683284,0.423683284,0.412679268,0.423683284,0.412679268,0,0,0,0,14.12994086,104.7167721,101.0661961,7299312
0.1,0,0.420817909,0.420817909,0.409813894,0.420817909,0.409813894,0,0,0,0,14.12994086,104.7167721,101.0661961,8110346
0.11,0,0.420677476,0.420677476,0.409673461,0.420677476,0.409673461,0,0,0,0,14.12994086,104.7167721,101.0661961,8921380
0.12,0,0.420537413,0.420537413,0.409533398,0.420537413,0.409533398,0,0,0,0,14.12994086,104.7167721,101.0661961,9732415
0.13,0,0.420397702,0.420397702,0.409393686,0.420397702,0.409393686,0,0,0,0,14.12994086,104.7167721,101.0661961,10543450
0.14,0,0.420258339,0.420258339,0.409254324,0.420258339,0.409254324,0,0,0,0,14.12994086,104.7167721,101.0661961,11354480
0.15,0,0.420119326,0.420119326,0.409115311,0.420119326,0.409115311,0,0,0,0,14.12994086,104.7167721,101.0661961,12165520
0.16,0,0.419980679,0.419980679,0.408976664,0.419980679,0.408976664,0,0,0,0,14.12994086,104.7167721,101.0661961,12976550
0.17,0,0.419842379,0.419842379,0.408838364,0.419842379,0.408838364,0,0,0,0,14.12994086,104.7167721,101.0661961,13787590
0.18,0,0.419704386,0.419704386,0.408700371,0.419704386,0.408700371,0,0,0,0,14.12994086,104.7167721,101.0661961,14598620
0.19,0,0.419566777,0.419566777,0.408562762,0.419566777,0.408562762,0,0,0,0,14.12994086,104.7167721,101.0661961,15409660
0.2,0,0.419429492,0.419429492,0.408425477,0.419429492,0.408425477,0,0,0,0,14.12994086,104.7167721,101.0661961,16220690
0.21,0,0.41929255,0.41929255,0.408288535,0.41929255,0.408288535,0,0,0,0,14.12994086,104.7167721,101.0661961,17031730
0.22,0,0.419155931,0.419155931,0.408151916,0.419155931,0.408151916,0,0,0,0,14.12994086,104.7167721,101.0661961,17842760
0.23,0,0.419019672,0.419019672,0.408015657,0.419019672,0.408015657,0,0,0,0,14.12994086,104.7167721,101.0661961,18653800
0.24,0,0.418883753,0.418883753,0.407879738,0.418883753,0.407879738,0,0,0,0,14.12994086,104.7167721,101.0661961,19464830
0.25,0,0.418748136,0.418748136,0.407744121,0.418748136,0.407744121,0,0,0,0,14.12994086,104.7167721,101.0661961,20275860
0.26,0,0.418900021,0.418900021,0.407896006,0.418900021,0.407896006,0,0,0,0,14.12994086,104.7167721,101.0661961,21086900
0.27,0,0.419051994,0.419051994,0.408047979,0.419051994,0.408047979,0,0,0,0,14.12994086,104.7167721,101.0661961,21897930
0.28,0,0.419204034,0.419204034,0.408200019,0.419204034,0.408200019,0,0,0,0,14.12994086,104.7167721,101.0661961,22708970
0.29,0,0.419356238,0.419356238,0.408352223,0.419356238,0.408352223,0,0,0,0,14.12994086,104.7167721,101.0661961,23520000
0.3,0,0.419508488,0.419508488,0.408504473,0.419508488,0.408504473,0,0,0,0,14.12994086,104.7167721,101.0661961,24331040
0.31,0,0.41966088,0.41966088,0.408656865,0.41966088,0.408656865,0,0,0,0,14.12994086,104.7167721,101.0661961,25142070
0.32,0,0.419813356,0.419813356,0.408809341,0.419813356,0.408809341,0,0,0,0,14.12994086,104.7167721,101.0661961,25953110
0.33,0,0.419965933,0.419965933,0.408961918,0.419965933,0.408961918,0,0,0,0,14.12994086,104.7167721,101.0661961,26764140
0.34,0,0.420118631,0.420118631,0.409114616,0.420118631,0.409114616,0,0,0,0,14.12994086,104.7167721,101.0661961,27575180
0.35,0,0.420271409,0.420271409,0.409267394,0.420271409,0.409267394,0,0,0,0,14.12994086,104.7167721,101.0661961,28386210
0.36,0,0.420424306,0.420424306,0.409420291,0.420424306,0.409420291,0,0,0,0,14.12994086,104.7167721,101.0661961,29197250
0.37,0,0.420577282,0.420577282,0.409573267,0.420577282,0.409573267,0,0,0,0,14.12994086,104.7167721,101.0661961,30008280
0.38,0,0.420730355,0.420730355,0.40972634,0.420730355,0.40972634,0,0,0,0,14.12994086,104.7167721,101.0661961,30819310
0.39,0,0.420883545,0.420883545,0.40987953,0.420883545,0.40987953,0,0,0,0,14.12994086,104.7167721,101.0661961,31630350
0.4,0,0.421036811,0.421036811,0.410032796,0.421036811,0.410032796,0,0,0,0,14.12994086,104.7167721,101.0661961,32441380
0.41,0,0.42119021,0.42119021,0.410186195,0.42119021,0.410186195,0,0,0,0,14.12994086,104.7167721,101.0661961,33252420
0.42,0,0.421343666,0.421343666,0.41033965,0.421343666,0.41033965,0,0,0,0,14.12994086,104.7167721,101.0661961,34063450
