Mach,CD Power-Off
0.01,0.684171276
0.02,0.604444241
0.03,0.564521039
0.04,0.538748819
0.05,0.520077371
0.06,0.505617255
0.07,0.49391968
0.08,0.484161521
0.09,0.475833345
0.1,0.468599451
0.11,0.462227598
0.12,0.456551039
0.13,0.451446248
0.14,0.446819427
0.15,0.442597603
0.16,0.438723193
0.17,0.435149899
0.18,0.431840017
0.19,0.428762472
0.2,0.425891351
0.21,0.423204858
0.22,0.420684581
0.23,0.418314681
0.24,0.416081574
0.25,0.413973508
0.26,0.412210632
0.27,0.410615676
0.28,0.409708327
0.29,0.408861567
0.3,0.408071513
0.31,0.40733483
0.32,0.406648417
0.33,0.406943937
0.34,0.407271742
0.35,0.40760806
0.36,0.407953123
0.37,0.408307228
0.38,0.408670674
0.39,0.409043773
0.4,0.409426852
0.41,0.409820281
0.42,0.410224429
0.43,0.410639697
0.44,0.411066543
0.45,0.411505416
0.46,0.411956787
0.47,0.412421213
0.48,0.412899256
0.49,0.413391503
0.5,0.413898616
0.51,0.414421292
0.52,0.414960282
0.53,0.415516384
0.54,0.416090468
0.55,0.416683494
0.56,0.417296452
0.57,0.417930459
0.58,0.418586687
0.59,0.419266453
0.6,0.419971139
0.61,0.421111775
0.62,0.422265574
0.63,0.423449107
0.64,0.424664406
0.65,0.425913669
0.66,0.427199394
0.67,0.428524224
0.68,0.429891245
0.69,0.431303769
0.7,0.432765573
0.71,0.433048198
0.72,0.433254943
0.73,0.433461459
0.74,0.433667823
0.75,0.433873985
0.76,0.434079955
0.77,0.434285734
0.78,0.434491299
0.79,0.434696719
0.8,0.434901926
0.81,0.438115118
0.82,0.441328105
0.83,0.444540907
0.84,0.447753541
0.85,0.450965969
0.86,0.45417821
0.87,0.457390283
0.88,0.460602148
0.89,0.463813844
0.9,0.46702537
0.91,0.470201142
0.92,0.47972846
0.93,0.490263383
0.94,0.497042252
0.95,0.503821121
0.96,0.510599991
0.97,0.51737886
0.98,0.52415773
0.99,0.530936599
1,0.537715469
1.01,0.544494338
1.02,0.551273208
1.03,0.558052077
1.04,0.564830947
1.05,0.571609816
1.06,0.568823428
1.07,0.566068189
1.08,0.563343682
1.09,0.560649333
1.1,0.557984669
1.11,0.555349236
1.12,0.552745245
1.13,0.550181151
1.14,0.547651781
1.15,0.545155155
1.16,0.542416723
1.17,0.5397002
1.18,0.537014988
1.19,0.534360477
1.2,0.531736179
1.21,0.529141635
1.22,0.526576343
1.23,0.524039948
1.24,0.521532059
1.25,0.519052292
1.26,0.516600316
1.27,0.514175795
1.28,0.5117784
1.29,0.50940785
1.3,0.507063818
1.31,0.504746058
1.32,0.502454267
1.33,0.500188192
1.34,0.497947582
1.35,0.495732181
1.36,0.493541757
1.37,0.491376104
1.38,0.489234962
1.39,0.487118131
1.4,0.485025394
1.41,0.482956547
1.42,0.480911388
1.43,0.478889726
1.44,0.476891398
1.45,0.474916202
1.46,0.472963938
1.47,0.471034472
1.48,0.469127621
1.49,0.467243229
1.5,0.465381107
1.51,0.46354114
1.52,0.461723166
1.53,0.459927037
1.54,0.458152589
1.55,0.456399718
1.56,0.45466827
1.57,0.452958102
1.58,0.451269119
1.59,0.449601156
1.6,0.44795412
1.61,0.446327875
1.62,0.44472232
1.63,0.443137322
1.64,0.441572791
1.65,0.440028599
1.66,0.438504667
1.67,0.437000869
1.68,0.435517125
1.69,0.434053319
1.7,0.432609339
1.71,0.431185146
1.72,0.429780591
1.73,0.428395632
1.74,0.42703016
1.75,0.425684091
1.76,0.424357352
1.77,0.423049842
1.78,0.421761501
1.79,0.420492248
1.8,0.419242013
1.81,0.418089974
1.82,0.416931788
1.83,0.415783548
1.84,0.414645177
1.85,0.413516631
1.86,0.412397815
1.87,0.411288695
1.88,0.410189188
1.89,0.40909925
1.9,0.408018806
1.91,0.406947803
1.92,0.405886192
1.93,0.404833906
1.94,0.403790918
1.95,0.402757147
1.96,0.40173256
1.97,0.400717081
1.98,0.399710695
1.99,0.398713344
2,0.397724978
2.01,0.396824559
2.02,0.39592925
2.03,0.395046375
2.04,0.394175834
2.05,0.393317509
2.06,0.392471299
2.07,0.391637107
2.08,0.390814828
2.09,0.390004362
2.1,0.389205602
2.11,0.388418493
2.12,0.387642909
2.13,0.386878779
2.14,0.386126022
2.15,0.38538457
2.16,0.384654328
2.17,0.383689873
2.18,0.382507263
2.19,0.381333101
2.2,0.380167275
2.21,0.379009665
2.22,0.377860173
2.23,0.37671869
2.24,0.375585111
2.25,0.374459319
2.26,0.373341242
2.27,0.372230748
2.28,0.371127784
2.29,0.370032218
2.3,0.368943988
2.31,0.367862993
2.32,0.366789147
2.33,0.365722354
2.34,0.364662553
2.35,0.363609642
2.36,0.362563566
2.37,0.36152423
2.38,0.360491545
2.39,0.359465462
2.4,0.358445901
2.41,0.357432783
2.42,0.356426062
2.43,0.355425618
2.44,0.354431447
2.45,0.353443438
2.46,0.352461529
2.47,0.351485683
2.48,0.350515811
2.49,0.349551863
2.5,0.348593789
2.51,0.347641508
2.52,0.346694996
2.53,0.345754153
2.54,0.344818953
2.55,0.343889333
2.56,0.342965244
2.57,0.342046614
2.58,0.341133425
2.59,0.340225596
2.6,0.339323088
2.61,0.338425845
2.62,0.33753383
2.63,0.336646996
2.64,0.335765286
2.65,0.334888655
2.66,0.334017061
2.67,0.333150466
2.68,0.332288811
2.69,0.331432068
2.7,0.330580188
2.71,0.329733118
2.72,0.328890827
2.73,0.328053295
2.74,0.327220437
2.75,0.326392246
2.76,0.325568673
2.77,0.324749681
2.78,0.323935236
2.79,0.323125303
2.8,0.322319833
2.81,0.321518797
2.82,0.320722161
2.83,0.319929875
2.84,0.319141925
2.85,0.318358277
2.86,0.317578881
2.87,0.316803713
2.88,0.316032726
2.89,0.31526592
2.9,0.314503227
2.91,0.313744636
2.92,0.312990108
2.93,0.312239624
2.94,0.311493142
2.95,0.310750634
2.96,0.310012071
2.97,0.309277418
2.98,0.308546647
2.99,0.30781974
3,0.307096662
3.01,0.30645863
3.02,0.305823271
3.03,0.305190561
3.04,0.304560492
3.05,0.303933058
3.06,0.303308219
3.07,0.302685983
3.08,0.30206633
3.09,0.301449245
3.1,0.300834709
3.11,0.300222729
3.12,0.299613267
3.13,0.299006306
3.14,0.298401871
3.15,0.297799913
3.16,0.297200434
3.17,0.296603412
3.18,0.29600885
3.19,0.295416719
3.2,0.294827022
3.21,0.294239727
3.22,0.293654842
3.23,0.293072333
3.24,0.292492194
3.25,0.291914418
3.26,0.291338999
3.27,0.290765922
3.28,0.290195156
3.29,0.289626719
3.3,0.289060582
3.31,0.288496729
3.32,0.287935155
3.33,0.287375841
3.34,0.286818785
3.35,0.286263986
3.36,0.2857114
3.37,0.285161049
3.38,0.284612899
3.39,0.28406694
3.4,0.28352317
3.41,0.282981579
3.42,0.282442152
3.43,0.281904873
3.44,0.281369737
3.45,0.280836731
3.46,0.280305849
3.47,0.279777066
3.48,0.279250379
3.49,0.278725781
3.5,0.278203268
3.51,0.277682809
3.52,0.277164414
3.53,0.276648049
3.54,0.276133733
3.55,0.275621427
3.56,0.275111139
3.57,0.274602856
3.58,0.274096558
3.59,0.273592244
3.6,0.273089889
3.61,0.27258951
3.62,0.272091075
3.63,0.271594581
3.64,0.271100013
3.65,0.27060736
3.66,0.27011663
3.67,0.269627796
3.68,0.26914085
3.69,0.268655786
3.7,0.268172578
3.71,0.267691239
3.72,0.267211757
3.73,0.266734109
3.74,0.266258295
3.75,0.265784295
3.76,0.26531212
3.77,0.264841729
3.78,0.264373135
3.79,0.26390633
3.8,0.263441299
3.81,0.262978015
3.82,0.26251651
3.83,0.262056731
3.84,0.261598688
3.85,0.261142369
3.86,0.260687777
3.87,0.260234892
3.88,0.259783691
3.89,0.259334196
3.9,0.258886382
3.91,0.258440222
3.92,0.257995723
3.93,0.257552885
3.94,0.25711169
3.95,0.256672137
3.96,0.256234198
3.97,0.255797874
3.98,0.255363163
3.99,0.254930057
4,0.254498527
4.01,0.254098841
4.02,0.253700711
4.03,0.253304101
4.04,0.252909025
4.05,0.252515458
4.06,0.252123411
4.07,0.251732847
4.08,0.251343787
4.09,0.250956207
4.1,0.250570114
4.11,0.250185473
4.12,0.249802297
4.13,0.249420581
4.14,0.249040303
4.15,0.248661466
4.16,0.248284057
4.17,0.247908073
4.18,0.247533497
4.19,0.247160332
4.2,0.246788564
4.21,0.246418185
4.22,0.246049191
4.23,0.245681564
4.24,0.245315319
4.25,0.244950431
4.26,0.244586892
4.27,0.244224695
4.28,0.243863837
4.29,0.243504321
4.3,0.243146111
4.31,0.242789228
4.32,0.242433651
4.33,0.242079371
4.34,0.241726383
4.35,0.241374682
4.36,0.241024258
4.37,0.24067511
4.38,0.240327209
4.39,0.23998058
4.4,0.239635197
4.41,0.239291065
4.42,0.238948157
4.43,0.238606476
4.44,0.238266018
4.45,0.237926767
4.46,0.237588726
4.47,0.23725188
4.48,0.236916234
4.49,0.236581761
4.5,0.236248474
4.51,0.235916348
4.52,0.235585388
4.53,0.235255587
4.54,0.234926942
4.55,0.234599424
4.56,0.234273057
4.57,0.233947808
4.58,0.233623689
4.59,0.233300665
4.6,0.232978771
4.61,0.23265796
4.62,0.232338256
4.63,0.232019634
4.64,0.231702089
4.65,0.231385614
4.66,0.231070213
4.67,0.230755872
4.68,0.230442574
4.69,0.230130324
4.7,0.229819126
4.71,0.229508933
4.72,0.229199802
4.73,0.228891665
4.74,0.228584548
4.75,0.228278435
4.76,0.227973329
4.77,0.227669206
4.78,0.22736606
4.79,0.227063915
4.8,0.226762735
4.81,0.226462516
4.82,0.22616326
4.83,0.225864955
4.84,0.225567602
4.85,0.225271187
4.86,0.224975705
4.87,0.224681148
4.88,0.224387524
4.89,0.224094804
4.9,0.223802995
4.91,0.223512082
4.92,0.223222065
4.93,0.222932944
4.94,0.222644701
4.95,0.222357341
4.96,0.222070848
4.97,0.221785216
4.98,0.221500431
4.99,0.221216516
5,0.220933438
5.01,0.220651199
5.02,0.220369795
5.03,0.220089211
5.04,0.219809451
5.05,0.219530509
5.06,0.219252371
5.07,0.218975041
5.08,0.218698502
5.09,0.218422741
5.1,0.218147781
5.11,0.217873589
5.12,0.217600168
5.13,0.217327522
5.14,0.217055628
5.15,0.216784477
5.16,0.216514097
5.17,0.216244433
5.18,0.215975517
5.19,0.215707337
5.2,0.215439873
5.21,0.215173125
5.22,0.214907086
5.23,0.214641758
5.24,0.214377121
5.25,0.214113184
5.26,0.213849936
5.27,0.213587362
5.28,0.213325474
5.29,0.213064268
5.3,0.212803699
5.31,0.212543801
5.32,0.212284552
5.33,0.212025962
5.34,0.21176801
5.35,0.211510679
5.36,0.211253995
5.37,0.21099793
5.38,0.210742483
5.39,0.210487656
5.4,0.210233425
5.41,0.209979795
5.42,0.20972676
5.43,0.209474326
5.44,0.209222469
5.45,0.208971191
5.46,0.208720489
5.47,0.208470348
5.48,0.208220783
5.49,0.207971767
5.5,0.207723297
5.51,0.207475378
5.52,0.207227995
5.53,0.206981143
5.54,0.206734826
5.55,0.206489039
5.56,0.206243759
5.57,0.205998999
5.58,0.205754735
5.59,0.205510981
5.6,0.205267726
5.61,0.20502495
5.62,0.20478267
5.63,0.204540862
5.64,0.20429953
5.65,0.20405867
5.66,0.203818277
5.67,0.203578335
5.68,0.203338851
5.69,0.203099819
5.7,0.202861224
5.71,0.202623062
5.72,0.202385328
5.73,0.202148025
5.74,0.201911143
5.75,0.201674681
5.76,0.201438631
5.77,0.201202972
5.78,0.200967733
5.79,0.200732878
5.8,0.200498412
5.81,0.200264332
5.82,0.200030632
5.83,0.199797305
5.84,0.199564341
5.85,0.19933174
5.86,0.199099513
5.87,0.19886763
5.88,0.1986361
5.89,0.198404906
5.9,0.198174044
5.91,0.197943531
5.92,0.197713339
5.93,0.197483467
5.94,0.197253908
5.95,0.197024667
5.96,0.196795742
5.97,0.196567116
5.98,0.196338774
5.99,0.196110743
6,0.195882988
6.01,0.195665067
6.02,0.195458467
6.03,0.195252374
6.04,0.195046794
6.05,0.194841737
6.06,0.19463718
6.07,0.194433132
6.08,0.194229592
6.09,0.194026558
6.1,0.193824028
6.11,0.193621992
6.12,0.193420456
6.13,0.19321942
6.14,0.193018872
6.15,0.19281881
6.16,0.192619254
6.17,0.19242018
6.18,0.192221588
6.19,0.192023496
6.2,0.191825874
6.21,0.191628728
6.22,0.191432078
6.23,0.191235892
6.24,0.191040188
6.25,0.190844946
6.26,0.190650183
6.27,0.190455898
6.28,0.190262059
6.29,0.190068706
6.3,0.189875807
6.31,0.189683369
6.32,0.189491403
6.33,0.189299895
6.34,0.189108845
6.35,0.188918232
6.36,0.188728094
6.37,0.188538398
6.38,0.188349146
6.39,0.188160353
6.4,0.187972011
6.41,0.187784095
6.42,0.187596637
6.43,0.187409623
6.44,0.187223033
6.45,0.187036895
6.46,0.186851188
6.47,0.18666591
6.48,0.186481081
6.49,0.186296668
6.5,0.1861127
6.51,0.185929148
6.52,0.185746027
6.53,0.185563328
6.54,0.185381059
6.55,0.185199208
6.56,0.185017766
6.57,0.184836759
6.58,0.184656157
6.59,0.184475978
6.6,0.184296212
6.61,0.184116866
6.62,0.183937921
6.63,0.183759383
6.64,0.183581253
6.65,0.183403538
6.66,0.183226207
6.67,0.18304929
6.68,0.182872785
6.69,0.18269667
6.7,0.182520956
6.71,0.182345639
6.72,0.182170719
6.73,0.181996186
6.74,0.181822056
6.75,0.18164831
6.76,0.181474947
6.77,0.181301984
6.78,0.181129401
6.79,0.180957206
6.8,0.180785389
6.81,0.180613968
6.82,0.180442922
6.83,0.180272249
6.84,0.180101959
6.85,0.179932051
6.86,0.179762503
6.87,0.179593333
6.88,0.179424542
6.89,0.179256118
6.9,0.17908807
6.91,0.178920386
6.92,0.178753065
6.93,0.178586117
6.94,0.17841953
6.95,0.178253303
6.96,0.178087437
6.97,0.177921937
6.98,0.177756795
6.99,0.177592001
7,0.177432255
7.01,0.17728257
7.02,0.177133311
7.03,0.176984473
7.04,0.176836068
7.05,0.176688074
7.06,0.176540507
7.07,0.176393358
7.08,0.176246615
7.09,0.176100295
7.1,0.175954388
7.11,0.175808891
7.12,0.175663794
7.13,0.175519114
7.14,0.17537485
7.15,0.17523098
7.16,0.175087514
7.17,0.174944449
7.18,0.174801785
7.19,0.174659519
7.2,0.17451765
7.21,0.174376185
7.22,0.174235105
7.23,0.174094419
7.24,0.173954123
7.25,0.173814226
7.26,0.173674708
7.27,0.173535576
7.28,0.17339684
7.29,0.173258477
7.3,0.173120497
7.31,0.172982897
7.32,0.172845678
7.33,0.172708847
7.34,0.172572382
7.35,0.172436292
7.36,0.172300577
7.37,0.172165235
7.38,0.172030263
7.39,0.171895661
7.4,0.171761418
7.41,0.171627554
7.42,0.171494052
7.43,0.171360917
7.44,0.171228144
7.45,0.171095724
7.46,0.170963673
7.47,0.170831973
7.48,0.170700629
7.49,0.170569652
7.5,0.170439011
7.51,0.170308733
7.52,0.170178809
7.53,0.170049235
7.54,0.169920012
7.55,0.169791137
7.56,0.1696626
7.57,0.169534419
7.58,0.169406574
7.59,0.169279072
7.6,0.169151914
7.61,0.169025096
7.62,0.168898618
7.63,0.16877248
7.64,0.168646668
7.65,0.168521204
7.66,0.168396065
7.67,0.168271259
7.68,0.168146788
7.69,0.168022647
7.7,0.167898837
7.71,0.167775346
7.72,0.167652184
7.73,0.167529348
7.74,0.167406849
7.75,0.167284654
7.76,0.167162791
7.77,0.167041253
7.78,0.166920024
7.79,0.166799117
