Mach,CD Power-On
0.01,0.673223681
0.02,0.593496646
0.03,0.553573444
0.04,0.527801224
0.05,0.509129777
0.06,0.49466966
0.07,0.482972085
0.08,0.473213926
0.09,0.464885751
0.1,0.457651856
0.11,0.451280004
0.12,0.445603444
0.13,0.440498653
0.14,0.435871832
0.15,0.431650008
0.16,0.427775598
0.17,0.424202305
0.18,0.420892423
0.19,0.417814877
0.2,0.414943756
0.21,0.412257264
0.22,0.409736986
0.23,0.407367086
0.24,0.40513398
0.25,0.403025913
0.26,0.401263037
0.27,0.399668081
0.28,0.398760732
0.29,0.397913972
0.3,0.397123919
0.31,0.396387235
0.32,0.395700823
0.33,0.395996342
0.34,0.396324147
0.35,0.396660466
0.36,0.397005528
0.37,0.397359633
0.38,0.39772308
0.39,0.398096178
0.4,0.398479257
0.41,0.398872686
0.42,0.399276835
0.43,0.399692103
0.44,0.400118948
0.45,0.400557821
0.46,0.401009192
0.47,0.401473619
0.48,0.401951661
0.49,0.402443909
0.5,0.402951021
0.51,0.403473697
0.52,0.404012687
0.53,0.404568789
0.54,0.405142874
0.55,0.4057359
0.56,0.406348857
0.57,0.406982864
0.58,0.407639092
0.59,0.408096095
0.6,0.408578018
0.61,0.409495891
0.62,0.410426926
0.63,0.411387697
0.64,0.412380232
0.65,0.413406731
0.66,0.414469694
0.67,0.41557176
0.68,0.416716018
0.69,0.417905779
0.7,0.419144819
0.71,0.419204681
0.72,0.419188663
0.73,0.419172416
0.74,0.419156016
0.75,0.419139416
0.76,0.419122623
0.77,0.419105637
0.78,0.41908844
0.79,0.419071097
0.8,0.419053541
0.81,0.422043969
0.82,0.425034193
0.83,0.428024231
0.84,0.431014102
0.85,0.434003767
0.86,0.436993245
0.87,0.439982554
0.88,0.442971656
0.89,0.445960589
0.9,0.448949351
0.91,0.452002207
0.92,0.461160774
0.93,0.470913096
0.94,0.476679891
0.95,0.482446686
0.96,0.488213481
0.97,0.493980275
0.98,0.49974707
0.99,0.505513865
1,0.51128066
1.01,0.517047454
1.02,0.522814249
1.03,0.528581044
1.04,0.534347839
1.05,0.540114634
1.06,0.537461672
1.07,0.534839858
1.08,0.532248778
1.09,0.529687854
1.1,0.527156616
1.11,0.524654609
1.12,0.522184044
1.13,0.519753376
1.14,0.517357431
1.15,0.514994231
1.16,0.512389225
1.17,0.509806128
1.18,0.507254342
1.19,0.504733257
1.2,0.502155659
1.21,0.499561114
1.22,0.496995822
1.23,0.494459427
1.24,0.491951538
1.25,0.489471771
1.26,0.487019795
1.27,0.484595274
1.28,0.482197879
1.29,0.479827329
1.3,0.477483298
1.31,0.475165537
1.32,0.472873747
1.33,0.470607671
1.34,0.468367061
1.35,0.46615166
1.36,0.463961236
1.37,0.461795583
1.38,0.459654441
1.39,0.45753761
1.4,0.455444873
1.41,0.453376026
1.42,0.451330868
1.43,0.449309205
1.44,0.447310877
1.45,0.445335682
1.46,0.443383417
1.47,0.441453951
1.48,0.439547101
1.49,0.437662708
1.5,0.435800586
1.51,0.433960619
1.52,0.432142645
1.53,0.430346516
1.54,0.428572068
1.55,0.426819197
1.56,0.425087749
1.57,0.423377582
1.58,0.421688598
1.59,0.420020635
1.6,0.418373599
1.61,0.416747354
1.62,0.415141799
1.63,0.413556801
1.64,0.41199227
1.65,0.410448078
1.66,0.408924146
1.67,0.407420348
1.68,0.405936604
1.69,0.404472798
1.7,0.403028818
1.71,0.401604626
1.72,0.40020007
1.73,0.398815111
1.74,0.397449639
1.75,0.39610357
1.76,0.394776831
1.77,0.393469321
1.78,0.39218098
1.79,0.390911727
1.8,0.389661492
1.81,0.388509453
1.82,0.387351267
1.83,0.386203027
1.84,0.385064657
1.85,0.38393611
1.86,0.382817295
1.87,0.381708174
1.88,0.380608667
1.89,0.37951873
1.9,0.378438285
1.91,0.377367282
1.92,0.376305671
1.93,0.375253386
1.94,0.374210397
1.95,0.373176626
1.96,0.372152039
1.97,0.37113656
1.98,0.370054289
1.99,0.368981051
2,0.367916799
2.01,0.366940495
2.02,0.365969299
2.03,0.365010538
2.04,0.364064111
2.05,0.3631299
2.06,0.362207804
2.07,0.361297726
2.08,0.360399562
2.09,0.359513209
2.1,0.358638563
2.11,0.357775568
2.12,0.356924099
2.13,0.356084082
2.14,0.355255439
2.15,0.354438102
2.16,0.353631973
2.17,0.352591632
2.18,0.351333136
2.19,0.350083089
2.2,0.348841377
2.21,0.347607881
2.22,0.346382502
2.23,0.345165133
2.24,0.343955669
2.25,0.342753991
2.26,0.341560027
2.27,0.340373648
2.28,0.339194798
2.29,0.338023346
2.3,0.33685923
2.31,0.335702348
2.32,0.334552617
2.33,0.333409938
2.34,0.332274251
2.35,0.331145454
2.36,0.330023492
2.37,0.32890827
2.38,0.327799699
2.39,0.32669773
2.4,0.325602283
2.41,0.324513279
2.42,0.323430672
