Mach,CD Power-Off
0.01,0.684171276
0.02,0.604444241
0.03,0.564521039
0.04,0.538748819
0.05,0.520077371
0.06,0.505617255
0.07,0.49391968
0.08,0.484161521
0.09,0.475833345
0.1,0.468599451
0.11,0.462227598
0.12,0.456551039
0.13,0.451446248
0.14,0.446819427
0.15,0.442597603
0.16,0.438723193
0.17,0.435149899
0.18,0.431840017
0.19,0.428762472
0.2,0.425891351
0.21,0.423204858
0.22,0.420684581
0.23,0.418314681
0.24,0.416081574
0.25,0.413973508
0.26,0.412210632
0.27,0.410550343
0.28,0.408985015
0.29,0.407507841
0.3,0.406112803
0.31,0.404794665
0.32,0.403548621
0.33,0.402370456
0.34,0.401256358
0.35,0.400202969
0.36,0.399207153
0.37,0.398266284
0.38,0.397377813
0.39,0.396539596
0.4,0.395749627
0.41,0.395006117
0.42,0.394307503
0.43,0.393652352
0.44,0.393039453
0.45,0.392467688
0.46,0.391936081
0.47,0.391443874
0.48,0.390990345
0.49,0.390574944
0.5,0.390197221
0.51,0.389856851
0.52,0.389553639
0.53,0.38928746
0.54,0.389058368
0.55,0.388866519
0.56,0.388712147
0.57,0.388595693
0.58,0.388517634
0.59,0.388478697
0.6,0.38847963
0.61,0.388879196
0.62,0.389306
0.63,0.389774264
0.64,0.39028562
0.65,0.390841831
0.66,0.39144507
0.67,0.392097588
0.68,0.392802115
0.69,0.393561632
0.7,0.394379637
0.71,0.394027329
0.72,0.393607766
0.73,0.393196312
0.74,0.392792749
0.75,0.39239682
0.76,0.392008278
0.77,0.39162691
0.78,0.391252492
0.79,0.390884812
0.8,0.390523658
0.81,0.39317704
0.82,0.395836568
0.83,0.398502108
0.84,0.401173472
0.85,0.403850471
0.86,0.406532975
0.87,0.409220863
0.88,0.411913931
0.89,0.414612078
0.9,0.417315135
0.91,0.420152878
0.92,0.428666107
0.93,0.43862197
0.94,0.445763853
0.95,0.452905735
0.96,0.460047618
0.97,0.467189501
0.98,0.474331384
0.99,0.481473267
1,0.48861515
1.01,0.495757033
1.02,0.502898916
1.03,0.510040799
1.04,0.517182681
1.05,0.524324564
1.06,0.521817114
1.07,0.519337393
1.08,0.516885101
1.09,0.514459745
1.1,0.512060926
1.11,0.509688285
1.12,0.507344108
1.13,0.505036924
1.14,0.502761635
1.15,0.500516331
1.16,0.498026532
1.17,0.495556018
1.18,0.493114255
1.19,0.490700689
1.2,0.488314902
1.21,0.485956486
1.22,0.483624998
1.23,0.481320143
1.24,0.479041537
1.25,0.476788918
1.26,0.474561968
1.27,0.472360364
1.28,0.470183891
1.29,0.468032278
1.3,0.465905208
1.31,0.463802542
1.32,0.461723986
1.33,0.459669292
1.34,0.457638312
1.35,0.455630794
1.36,0.453646544
1.37,0.451685357
1.38,0.44974707
1.39,0.447831483
1.4,0.445938385
1.41,0.444067658
1.42,0.442219104
1.43,0.440392529
1.44,0.438587859
1.45,0.436804889
1.46,0.435043418
1.47,0.433303394
1.48,0.431584634
1.49,0.429886976
1.5,0.428210311
1.51,0.426554522
1.52,0.424919466
1.53,0.423304996
1.54,0.421711019
1.55,0.420137426
1.56,0.41858406
1.57,0.417050848
1.58,0.415537688
1.59,0.414044412
1.6,0.412570993
1.61,0.41111729
1.62,0.409683195
1.63,0.408268641
1.64,0.40687353
1.65,0.405497751
1.66,0.40414122
1.67,0.40280387
1.68,0.401485614
1.69,0.400186331
1.7,0.398905966
1.71,0.397644474
1.72,0.396401697
1.73,0.39517765
1.74,0.393972217
1.75,0.392785305
1.76,0.391616898
1.77,0.390466884
1.78,0.389335196
1.79,0.388221806
1.8,0.387126636
1.81,0.386128875
1.82,0.385124171
1.83,0.384128668
1.84,0.383142282
1.85,0.382164958
1.86,0.38119665
1.87,0.380237315
1.88,0.379286863
1.89,0.378345296
1.9,0.377412529
1.91,0.376488503
1.92,0.375573211
1.93,0.37466658
1.94,0.373768572
1.95,0.372879152
1.96,0.371998276
1.97,0.371125861
1.98,0.370261933
1.99,0.369406424
2,0.368559295
2.01,0.367918953
2.02,0.367280698
2.03,0.366650896
2.04,0.366029523
2.05,0.365416583
2.06,0.36481205
2.07,0.364215895
2.08,0.363628127
2.09,0.36304871
2.1,0.362477601
2.11,0.361914849
2.12,0.361360387
2.13,0.360814198
2.14,0.360276301
2.15,0.359746679
2.16,0.359225287
2.17,0.358466794
2.18,0.357487303
2.19,0.356513465
2.2,0.35554525
2.21,0.354582582
2.22,0.353625415
2.23,0.352673683
2.24,0.351727356
2.25,0.350786354
2.26,0.349850641
2.27,0.348920158
2.28,0.347994885
2.29,0.347074734
2.3,0.346159676
2.31,0.345249674
2.32,0.344344673
2.33,0.343444606
2.34,0.342549473
2.35,0.3416592
2.36,0.340773756
2.37,0.339893108
2.38,0.339017187
2.39,0.33814597
2.4,0.337279432
2.41,0.336417518
2.42,0.335560199
2.43,0.334707411
2.44,0.333859168
2.45,0.33301538
2.46,0.332176035
2.47,0.331341112
2.48,0.330510551
2.49,0.329684318
2.5,0.328862412
2.51,0.328044766
2.52,0.327231371
2.53,0.326422172
2.54,0.325617158
2.55,0.32481628
2.56,0.32401953
2.57,0.323226851
2.58,0.322438235
2.59,0.321653644
2.6,0.32087305
2.61,0.320096418
2.62,0.31932372
2.63,0.318554949
2.64,0.317790049
2.65,0.317029014
2.66,0.316271808
2.67,0.315518414
2.68,0.31476878
2.69,0.314022914
2.7,0.313280776
2.71,0.31254232
2.72,0.31180755
2.73,0.311076453
2.74,0.31034895
2.75,0.309625069
2.76,0.308904766
2.77,0.30818801
2.78,0.3074748
2.79,0.306765106
2.8,0.306058894
2.81,0.30535614
2.82,0.304656839
2.83,0.303960947
2.84,0.303268455
2.85,0.302579357
2.86,0.30189361
2.87,0.301211199
2.88,0.300532084
2.89,0.299856291
2.9,0.299183747
2.91,0.298514471
2.92,0.297848426
2.93,0.297185603
2.94,0.296525964
2.95,0.295869507
2.96,0.295216207
2.97,0.294566029
2.98,0.293918972
2.99,0.293275022
