Mach,CD Power-On
0.01,0.673223681
0.02,0.593496646
0.03,0.553573444
0.04,0.527801224
0.05,0.509129777
0.06,0.49466966
0.07,0.482972085
0.08,0.473213926
0.09,0.464885751
0.1,0.457651856
0.11,0.451280004
0.12,0.445603444
0.13,0.440498653
0.14,0.435871832
0.15,0.431650008
0.16,0.427775598
0.17,0.424202305
0.18,0.420892423
0.19,0.417814877
0.2,0.414943756
0.21,0.412257264
0.22,0.409736986
0.23,0.407367086
0.24,0.40513398
0.25,0.403025913
0.26,0.401263037
0.27,0.399602749
0.28,0.398037421
0.29,0.396560246
0.3,0.395165208
0.31,0.39384707
0.32,0.392601027
0.33,0.391422861
0.34,0.390308764
0.35,0.389255374
0.36,0.388259559
0.37,0.38731869
0.38,0.386430218
0.39,0.385592001
0.4,0.384802032
0.41,0.384058522
0.42,0.383359909
0.43,0.382704757
0.44,0.382091859
0.45,0.381520093
0.46,0.380988487
0.47,0.380496279
0.48,0.380042751
0.49,0.37962735
0.5,0.379249627
0.51,0.378909256
0.52,0.378606044
0.53,0.378339866
0.54,0.378110774
0.55,0.377918924
0.56,0.377764553
0.57,0.377648098
0.58,0.377570039
0.59,0.377308339
0.6,0.377086509
0.61,0.377263311
0.62,0.377467353
0.63,0.377712853
0.64,0.378001446
0.65,0.378334894
0.66,0.378715369
0.67,0.379145124
0.68,0.379626888
0.69,0.380163642
0.7,0.380758884
0.71,0.380183812
0.72,0.379541486
0.73,0.378907268
0.74,0.378280942
0.75,0.377662251
0.76,0.377050945
0.77,0.376446814
0.78,0.375849633
0.79,0.375259189
0.8,0.374675273
0.81,0.377105891
0.82,0.379542656
0.83,0.381985433
0.84,0.384434033
0.85,0.386888269
0.86,0.38934801
0.87,0.391813135
0.88,0.394283439
0.89,0.396758823
0.9,0.399239117
0.91,0.401953943
0.92,0.410098421
0.93,0.419271683
0.94,0.425401492
0.95,0.4315313
0.96,0.437661108
0.97,0.443790916
0.98,0.449920724
0.99,0.456050533
1,0.462180341
1.01,0.468310149
1.02,0.474439957
1.03,0.480569765
1.04,0.486699574
1.05,0.492829382
1.06,0.490455358
1.07,0.488109062
1.08,0.485790196
1.09,0.483498266
1.1,0.481232873
1.11,0.478993658
1.12,0.476782906
1.13,0.474609148
1.14,0.472467285
1.15,0.470355408
1.16,0.467999035
1.17,0.465661946
1.18,0.463353609
1.19,0.461073469
1.2,0.458734381
1.21,0.456375965
1.22,0.454044478
1.23,0.451739622
1.24,0.449461016
1.25,0.447208397
1.26,0.444981447
1.27,0.442779843
1.28,0.44060337
1.29,0.438451757
1.3,0.436324687
1.31,0.434222021
1.32,0.432143465
1.33,0.430088771
1.34,0.428057791
1.35,0.426050273
1.36,0.424066023
1.37,0.422104836
1.38,0.420166549
1.39,0.418250963
1.4,0.416357864
1.41,0.414487137
1.42,0.412638583
1.43,0.410812008
1.44,0.409007338
1.45,0.407224368
1.46,0.405462897
1.47,0.403722873
1.48,0.402004113
1.49,0.400306455
1.5,0.39862979
1.51,0.396974001
1.52,0.395338946
1.53,0.393724475
1.54,0.392130498
1.55,0.390556906
1.56,0.389003539
1.57,0.387470327
1.58,0.385957167
1.59,0.384463892
1.6,0.382990472
1.61,0.381536769
1.62,0.380102674
1.63,0.37868812
1.64,0.377293009
1.65,0.37591723
1.66,0.374560699
1.67,0.373223349
1.68,0.371905093
1.69,0.370605811
1.7,0.369325445
1.71,0.368063953
1.72,0.366821176
1.73,0.365597129
1.74,0.364391696
1.75,0.363204785
1.76,0.362036377
1.77,0.360886363
1.78,0.359754675
1.79,0.358641286
1.8,0.357546115
1.81,0.356548354
1.82,0.35554365
1.83,0.354548147
1.84,0.353561761
1.85,0.352584437
1.86,0.351616129
1.87,0.350656794
1.88,0.349706342
1.89,0.348764775
1.9,0.347832008
1.91,0.346907982
1.92,0.34599269
1.93,0.345086059
1.94,0.344188052
1.95,0.343298631
1.96,0.342417756
1.97,0.34154534
1.98,0.340605526
1.99,0.339674131
2,0.338751116
2.01,0.338034888
2.02,0.337320747
2.03,0.336615059
2.04,0.3359178
2.05,0.335228975
2.06,0.334548555
2.07,0.333876514
2.08,0.333212861
2.09,0.332557557
2.1,0.331910563
2.11,0.331271925
2.12,0.330641576
2.13,0.330019502
2.14,0.329405719
2.15,0.328800211
2.16,0.328202933
2.17,0.327368553
2.18,0.326313177
2.19,0.325263452
2.2,0.324219352
2.21,0.323180798
2.22,0.322147745
2.23,0.321120126
2.24,0.320097913
2.25,0.319081026
2.26,0.318069426
2.27,0.317063058
2.28,0.316061899
2.29,0.315065862
2.3,0.314074917
2.31,0.31308903
2.32,0.312108143
2.33,0.31113219
2.34,0.310161171
2.35,0.309195012
2.36,0.308233682
2.37,0.307277148
2.38,0.306325341
2.39,0.305378238
2.4,0.304435814
2.41,0.303498014
2.42,0.302564809
