Mach,CD Power-Off
0.01,0.438785307
0.02,0.429353787
0.03,0.411971145
0.04,0.39726107
0.05,0.392584109
0.06,0.388797628
0.07,0.385129716
0.08,0.381681395
0.09,0.378473012
0.1,0.376487078
0.11,0.376429541
0.12,0.376367254
0.13,0.376309886
0.14,0.376252602
0.15,0.376195402
0.16,0.376138286
0.17,0.376081253
0.18,0.376024303
0.19,0.375967437
0.2,0.375910654
0.21,0.375853954
0.22,0.375797337
0.23,0.375740802
0.24,0.37568435
0.25,0.37562798
0.26,0.375747709
0.27,0.375867519
0.28,0.37598743
0.29,0.376107404
0.3,0.37622746
0.31,0.376347597
0.32,0.376467833
0.33,0.376588133
0.34,0.376708531
0.35,0.376828993
0.36,0.376949535
0.37,0.377070175
0.38,0.377190878
0.39,0.377311661
0.4,0.377432524
0.41,0.377553485
0.42,0.377674508
0.43,0.377795629
0.44,0.377916792
0.45,0.378038071
0.46,0.378159412
0.47,0.378280849
0.48,0.378402347
0.49,0.378523923
0.5,0.378645596
0.51,0.37876733
0.52,0.378889141
0.53,0.379011031
0.54,0.379133017
0.55,0.379255062
0.56,0.379377185
0.57,0.379499403
0.58,0.37962168
0.59,0.379744053
0.6,0.379866484
0.61,0.38030752
0.62,0.380737187
0.63,0.38116693
0.64,0.381596768
0.65,0.382026663
0.66,0.382456671
0.67,0.382886719
0.68,0.38331686
0.69,0.383747059
0.7,0.384177333
0.71,0.384607701
0.72,0.385038125
0.73,0.385468643
0.74,0.385899235
0.75,0.386329884
0.76,0.386760625
0.77,0.387191423
0.78,0.387622313
0.79,0.388053259
0.8,0.388484296
0.81,0.38891539
0.82,0.389346575
0.83,0.389777815
0.84,0.390209147
0.85,0.390640551
0.86,0.391072011
0.87,0.391503561
0.88,0.391935166
0.89,0.392366862
0.9,0.392798612
0.91,0.395469642
0.92,0.403482734
0.93,0.414212292
0.94,0.423651772
0.95,0.433091251
0.96,0.442530731
0.97,0.45197021
0.98,0.461409689
0.99,0.470849169
1,0.480288648
1.01,0.489728127
1.02,0.499167607
1.03,0.508607086
1.04,0.518046565
1.05,0.527486045
1.06,0.525324957
1.07,0.523188631
1.08,0.521076442
1.09,0.518987953
1.1,0.516942353
1.11,0.514934677
1.12,0.512959567
1.13,0.511014753
1.14,0.509098745
1.15,0.50721041
1.16,0.505078104
1.17,0.502962946
1.18,0.500874228
1.19,0.498811267
1.2,0.496773497
1.21,0.494760382
1.22,0.492771408
1.23,0.490806104
1.24,0.488864013
1.25,0.486944709
1.26,0.485047791
1.27,0.48317289
1.28,0.481319604
1.29,0.479487616
1.3,0.477676564
1.31,0.475886143
1.32,0.474116015
1.33,0.472365914
1.34,0.470635551
1.35,0.468924627
1.36,0.467232879
1.37,0.465560066
1.38,0.463905925
1.39,0.462270229
1.4,0.460652735
1.41,0.459053222
1.42,0.457471481
1.43,0.455907298
1.44,0.454360453
1.45,0.452830783
1.46,0.451318074
1.47,0.449822171
1.48,0.448342859
1.49,0.446879996
1.5,0.445433409
1.51,0.444002917
1.52,0.442588392
1.53,0.44118966
1.54,0.439806588
1.55,0.438439026
1.56,0.437086849
1.57,0.435749897
1.58,0.434428082
1.59,0.433121233
1.6,0.431829262
1.61,0.430552034
1.62,0.429289446
1.63,0.428041372
1.64,0.42680772
1.65,0.425588378
1.66,0.424383234
1.67,0.423192207
1.68,0.422015203
1.69,0.420852123
1.7,0.419702877
1.71,0.418567382
1.72,0.417445533
1.73,0.41633729
1.74,0.415242551
1.75,0.414161232
1.76,0.413093275
1.77,0.412038601
1.78,0.410997141
1.79,0.409968837
1.8,0.408953612
1.81,0.407951403
1.82,0.40696215
1.83,0.405985806
1.84,0.405022306
1.85,0.404071596
1.86,0.403133621
1.87,0.402208337
1.88,0.401295691
1.89,0.40039563
1.9,0.399508107
1.91,0.3986331
1.92,0.397770527
1.93,0.396920382
1.94,0.396082615
1.95,0.395257185
1.96,0.394444058
1.97,0.393643184
1.98,0.392854559
1.99,0.391668863
2,0.390138398
