alpha,CL
0,0
0.5,0.053404035
1,0.106808069
1.5,0.160458774
2,0.213739474
2.5,0.267143509
3,0.320424208
3.5,0.373704908
4,0.426738938
4.5,0.479772968
5,0.532683663
5.5,0.585347688
6,0.638011713
6.5,0.690429068
7,0.742599753
7.5,0.794770438
8,0.846571119
8.5,0.898248464
9,0.94967914
9.5,1.00073981
10,1.051800481
10.5,1.102491147
11,1.152688473
11.5,1.202639129
12,1.25246645
12.5,1.301923766
13,1.350887742
13.5,1.399605049
14,1.448075686
14.5,1.496052982
15,1.543536939
16,1.637518174
17,1.729649384
18,1.820177239
19,1.908608401
20,1.995066203
21,2.079427311
22,2.161445055
23,2.241119435
24,2.31845045
25,2.392821427
26,2.46534238
27,2.534779958
28,2.601010828
29,2.665268339
30,2.725949136
31,2.783669894
32,2.838183943
33,2.889614619
34,2.937838585
35,2.981992498
40,3.153058079
45,3.230635764
50,3.208435473
55,3.085470524
60,2.863467608
65,2.548346803
70,2.149234894
75,1.678465378
80,1.151578458
85,0.585717693
90,0
