Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,72.2,0,0,89.76,101.4013,1.914683,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2759803,5.163709,0.4082655,0.7957855,1629.963,69.0274,8.51757,17.36819,88.66429,101.4013,2.094898,723.536440246559,722.4819,39.04977,322.867467248362,319.0711,14.15833,86.36871,87.45924,75.80849,3.313786
0.9999993,S,0.9999993,0.6103076,-1.486142,0.3377517,-0.2192736,1718.486,65.28993,34.1549,-22.68444,87.56859,101.4013,2.275113,799.323790520619,786.0565,145.03,705.478926336787,699.0089,60.11814,80.74815,85.08438,330.9888,19.4696
1.499999,S,1.499999,0.9695379,0.3990887,0.3822609,0.0669689,1750.823,61.44375,96.01012,17.07481,86.47289,102.727,2.673382,834.450301607645,827.137,110.2347,1114.74297101286,1103.212,124.7144,82.15091,83.55029,782.5563,66.85107
1.999998,S,1.999998,1.314323,-0.04532617,0.39764,-0.003869711,1512.552,57.77603,179.2838,-1.761345,85.37717,104.8613,3.204633,710.734139284444,701.8514,112.0162,1503.72658424587,1487.604,184.4007,81.55699,82.93376,1434.864,144.5532
2.499998,S,2.499998,1.609792,0.02968156,0.3506972,0.004166088,1345.323,54.63905,230.0984,2.752162,84.28147,104.3955,3.308223,624.898098344704,617.1559,98.06237,1834.26256284165,1813.947,237.0335,81.4943,82.55518,2263.495,250.1939
2.999998,S,2.999998,1.822144,0.001990716,0.3233815,-0.00001458006,800.08,52.26009,262.0699,-0.01185008,83.18576,104.0483,3.431344,299.540097237422,294.9112,52.45621,2065.39192136458,2041.954,275.0623,81.36211,82.32813,3236.711,379.3855
3.499997,S,3.499997,1.899085,0.001176715,0.314573,0.00009701211,357.9634,51.03304,265.9142,0.08202616,82.09006,103.9074,3.588378,27.3251932309453,24.80397,11.46426,2142.13917276993,2117.266,290.2838,81.2614,82.19324,4283.189,521.6674
3.999997,S,3.999997,1.876571,0.00155197,0.3689117,0.0002046848,0,50.6411,291.9455,0.1616477,81.00092,103.9476,3.774132,-217.391086661135,-215.8828,-25.56367,2106.70548480088,2081.682,288.5327,81.16179,82.10876,5337.195,667.0588
4.500008,S,4.500008,1.79042,0.002250012,0.3789909,0.0003687686,0,50.64107,261.8461,0.2542801,81.00092,104.1032,3.799711,-198.267283248376,-196.9089,-23.16896,2003.06954018287,1978.689,276.3645,81.0537,82.0489,6351.379,808.2314
5.00002,S,5.00002,1.71141,0.002186402,0.3888628,0.0003526748,0,50.64107,235.6273,0.2132938,81.00092,104.2458,3.82318,-181.610638556271,-180.392,-21.00358,1908.35555084633,1884.539,265.3476,80.94069,81.9853,7316.371,943.6149
5.500031,S,5.500031,1.638648,0.002376743,0.3985221,0.0003820065,0,50.64107,212.6576,0.2034717,81.00092,104.3748,3.844394,-167.017841571662,-165.9198,-19.12013,1821.43011716639,1798.108,255.3351,80.82371,81.91792,8236.302,1073.746
6.000042,S,6.000042,1.571397,0.00257808,0.4079689,0.0004137619,0,50.64107,192.4349,0.1948226,81.00092,104.4915,3.863577,-154.170363161408,-153.1786,-17.45902,1741.35473090596,1718.465,246.2069,80.7024,81.84663,9114.782,1199.097
6.500054,S,6.500054,1.509014,0.002757347,0.417211,0.0004414663,0,50.64107,174.55,0.1843823,81.00092,104.5965,3.880852,-142.808282715473,-141.9108,-15.98532,1667.31815732637,1644.805,237.8604,80.57656,81.77132,9954.998,1320.083
7.000065,S,7.000065,1.450951,0.002980115,0.426259,0.0004769696,0,50.64107,158.6686,0.1772509,81.00092,104.6904,3.896291,-132.71904441188,-131.9052,-14.67525,1598.6301636544,1576.443,230.2084,80.44606,81.69181,10759.76,1437.074
7.500077,S,7.500077,1.396421,0.003209993,0.4351788,0.0005117783,0,50.64107,146.5101,0.1720188,81.00092,104.7739,3.910038,-124.994306706611,-124.2423,-13.69042,1534.33891457064,1512.436,223.1198,80.31049,81.60806,11531.5,1550.386
8.000088,S,8.000088,1.34499,0.003452661,0.4439968,0.0005500018,0,50.64107,134.5538,0.1664141,81.00092,104.8474,3.922119,-117.398383518856,-116.7085,-12.70852,1473.92865583481,1452.272,216.5294,80.16949,81.51984,12272.22,1660.278
