Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,72.2,0,0,89.76,101.4013,1.914683,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2760172,5.161718,0.3773426,0.7984075,1629.963,69.0274,7.874539,17.43029,88.66429,101.4013,2.094898,723.83574299943,722.7824,39.03569,322.912694991277,319.1175,14.15423,86.36869,87.46035,75.81404,3.313254
0.9999993,S,0.9999993,0.6107879,-1.486552,0.2938127,-0.2204851,1718.486,65.28993,29.75825,-22.84659,87.56859,101.4013,2.275113,801.487247983479,788.2173,145.2422,706.049319314302,699.5806,60.14726,80.75166,85.08601,331.1127,19.47042
1.499999,S,1.499999,0.9718695,0.395893,0.3298455,0.0669883,1750.827,61.44375,83.24174,17.16294,86.47289,102.7733,2.680991,841.136030798069,833.8007,110.8432,1117.4679173873,1105.935,124.9242,82.1571,83.55531,783.4167,66.90536
1.999998,S,1.999998,1.320727,-0.0493748,0.3475464,-0.004608068,1512.567,57.77603,158.2103,-2.11789,85.37717,104.8472,3.202312,722.476744842628,713.5024,113.5208,1511.12013696314,1494.974,185.1027,81.56742,82.94175,1438.164,144.824
2.499998,S,2.499998,1.622342,0.03076722,0.304861,0.00446201,1345.364,54.63905,203.0908,2.993194,84.28147,104.3714,3.304267,640.813109435224,633.009,99.7048,1848.6188628486,1828.244,238.4991,81.51623,82.56759,2272.16,250.9976
2.999998,S,2.999998,1.842485,0.003429185,0.2806004,0.0002287,800.1614,52.26009,232.3477,0.1899497,83.18576,104.0097,3.424988,317.864619699095,313.1427,54.5854,2088.4733501061,2064.918,277.5772,81.38998,82.34389,3254.684,381.1763
3.499997,S,3.499997,1.927757,0.001822174,0.2728924,0.0002003617,358.1031,51.03304,237.4048,0.1743772,82.09006,103.8542,3.579626,44.8870806099584,42.71935,13.78068,2174.42406761721,2149.362,293.9774,81.29435,82.21174,4314.979,525.0071
3.999997,S,3.999997,1.913125,0.001769202,0.3268537,0.0002376838,0,50.6411,268.2967,0.194735,81.00092,103.8806,3.763107,-202.370149510076,-201.0055,-23.46202,2147.57020923736,2122.282,293.3904,81.2004,82.12915,5387.245,672.5386
4.500008,S,4.500008,1.833333,0.001950827,0.3355986,0.0003243098,0,50.64107,242.3867,0.2338095,81.00092,104.0256,3.786949,-185.908729224446,-184.6743,-21.38828,2050.74244067094,2026.031,282.1923,81.0983,82.07066,6423.502,816.3901
5.00002,S,5.00002,1.759642,0.002003558,0.3442374,0.0003228075,0,50.64107,219.5923,0.2055629,81.00092,104.1592,3.808933,-171.427600105001,-170.3124,-19.522,1961.63066364288,1937.428,271.9851,80.99235,82.00877,7413.623,954.8959
5.500031,S,5.500031,1.691349,0.002193621,0.3527511,0.0003535424,0,50.64107,199.4315,0.1995422,81.00092,104.2817,3.829074,-158.619422214434,-157.6084,-17.88053,1879.32812450985,1855.574,262.6499,80.88284,81.9435,8361.201,1088.52
6.000042,S,6.000042,1.62785,0.00234405,0.3611293,0.0003785962,0,50.64107,181.5165,0.1899861,81.00092,104.3939,3.847524,-147.238248236083,-146.3202,-16.41648,1803.05996934277,1779.7,254.0897,80.76943,81.87473,9269.405,1217.674
6.500054,S,6.500054,1.568633,0.002484097,0.3693663,0.000400483,0,50.64107,165.5324,0.179194,81.00092,104.4964,3.864386,-137.083846367397,-136.249,-15.10599,1732.16618788455,1709.151,246.2215,80.65204,81.80233,10141.06,1342.725
7.000065,S,7.000065,1.513253,0.002664635,0.3774613,0.0004294039,0,50.64107,151.2196,0.1717655,81.00092,104.5896,3.879718,-127.991314651248,-127.2309,-13.93107,1666.08132340394,1643.366,238.9729,80.53062,81.72623,10978.67,1463.999
7.500077,S,7.500077,1.460822,0.002859964,0.3854895,0.0004600119,0,50.64107,140.5823,0.1675066,81.00092,104.6748,3.893733,-121.232983176537,-120.5254,-13.07915,1603.74575057195,1581.295,232.1991,80.40459,81.64632,11784.37,1581.772
8.000088,S,8.000088,1.411246,0.003066027,0.3934278,0.0004915988,0,50.64107,129.736,0.1618694,81.00092,104.7518,3.906394,-114.342461462259,-113.6904,-12.19391,1545.0254231954,1522.804,225.8888,80.27386,81.56242,12559.97,1696.276
8.500099,S,8.500099,1.364271,0.003277655,0.4012808,0.0005242898,0,50.64107,119.9308,0.1564678,81.00092,104.8207,3.917724,-108.113297857194,-107.5114,-11.39228,1489.58688574612,1467.562,219.9995,80.13825,81.47438,13307.15,1807.731
9.000111,S,9.000111,1.319652,0.003517911,0.4090574,0.0005621321,0,50.64107,111.0401,0.1523761,81.00092,104.8814,3.927708,-102.465215828802,-101.9087,-10.66477,1437.11792265658,1415.259,214.4916,79.99758,81.38204,14027.48,1916.339
9.500122,S,9.500122,1.277174,0.003760391,0.4167674,0.000599261,0,50.64107,102.9564,0.1478319,81.00092,104.9316,3.935961,-97.3297817827437,-96.81453,-10.00166,1387.34669896011,1365.625,209.3308,79.85155,81.28521,14722.35,2022.281
