Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,78.4,0,0,88.87,101.4013,2.061065,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2530882,5.886021,0.4309194,0.9023039,1629.932,75.2274,7.562243,16.56203,87.85159,101.4013,2.228568,661.668984117815,660.7721,34.43946,296.065130092921,292.1185,12.97232,86.52031,87.45729,69.3998,3.057515
0.9999993,S,0.9999993,0.5583448,-1.49492,0.3378894,-0.216342,1718.348,71.48993,28.62599,-18.74953,86.83317,101.4013,2.396071,729.555319963421,717.4878,132.1447,645.454902777506,639.3719,53.19791,80.63271,85.24375,302.8967,17.4104
1.499999,S,1.499999,0.8861932,0.6440994,0.3330474,0.09672468,1750.496,67.64378,70.05154,20.65434,85.81475,101.4013,2.563574,767.215000627399,760.5113,101.1999,1019.18239986604,1007.836,116.4474,82.08665,83.40916,715.5743,60.79449
1.999998,S,1.999998,1.202265,0.1863752,0.4191266,0.03095653,1511.963,63.97606,158.8223,11.84192,84.79633,104.7074,3.274841,648.570977927252,641.4141,96.08468,1376.05879105043,1360.373,171.9709,81.52702,82.7952,1312.139,132.9516
2.499998,S,2.499998,1.471619,-0.0509152,0.3711767,-0.007746423,1344.414,60.83908,204.9807,-4.307184,83.77791,104.5993,3.424573,570.939139547617,562.6296,97.05377,1677.89485980012,1658.215,221.0227,81.1651,82.40782,2069.752,231.368
2.999998,S,2.999998,1.666037,0.01515348,0.3430036,0.002845094,798.812,58.46012,234.8331,1.953612,82.75949,104.3071,3.544007,278.67692638413,274.3037,49.17631,1890.24794370741,1867.491,257.2209,81.11552,82.15765,2959.479,352.0731
3.499997,S,3.499997,1.739084,0.00605997,0.3335171,0.000834252,356.338,57.23306,239.8158,0.6000758,81.74107,104.1923,3.692636,34.478734378009,32.22182,12.26937,1964.18552848515,1939.96,272.3306,80.99802,82.00906,3917.339,485.342
3.999997,S,3.999997,1.722924,0.0009229781,0.3873852,0.00007159253,0,56.84113,263.1563,0.04854325,80.72876,104.2274,3.864904,-180.862131331688,-179.6424,-20.96947,1937.3949413822,1912.933,271.6902,80.88644,81.91645,4884.414,621.9789
4.500008,S,4.500008,1.651057,0.002583945,0.3968346,0.0003889461,0,56.8411,238.3433,0.2331853,80.72876,104.3529,3.885548,-166.815032474205,-165.7001,-19.2544,1850.70172397818,1826.742,261.6262,80.77305,81.84952,5818.612,755.269
