Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,78.4,0,0,88.87,101.4013,2.061065,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2531164,5.884209,0.4005964,0.9052849,1629.932,75.2274,7.03167,16.62062,87.85159,101.4013,2.228568,661.895562504503,660.9997,34.42575,296.099673228656,292.1541,12.96874,86.5203,87.45831,69.40399,3.057072
0.9999993,S,0.9999993,0.5586993,-1.49575,0.2958826,-0.2175522,1718.349,71.48993,25.09893,-18.87896,86.83317,101.4013,2.396071,731.14005569453,719.0712,132.2966,645.875728200552,639.7943,53.21547,80.63548,85.24532,302.989,17.4099
1.499999,S,1.499999,0.8879116,0.6425655,0.2806707,0.09712952,1750.5,67.64378,59.26274,20.82231,85.81475,101.4013,2.563574,772.345803960182,765.6323,101.6131,1021.19268099578,1009.846,116.5996,82.09345,83.41364,716.2086,60.83237
1.999998,S,1.999998,1.207141,0.1843706,0.3674903,0.03095983,1511.975,63.97606,140.3751,11.93956,84.79633,104.7082,3.274971,657.849956027733,650.6521,97.04849,1381.69592249484,1365.995,172.4968,81.53855,82.80283,1314.61,133.1531
2.499998,S,2.499998,1.481367,-0.05159348,0.3234861,-0.008033543,1344.444,60.83908,180.9748,-4.525594,83.77791,104.5816,3.42166,583.643602005758,575.2444,98.65969,1689.06237273395,1669.333,222.2003,81.18253,82.41808,2076.366,231.9859
2.999998,S,2.999998,1.68203,0.01301127,0.2981426,0.002572114,798.8754,58.46012,207.9488,1.79953,82.75949,104.2809,3.539709,293.496830656608,289.0068,51.14156,1908.42585163441,1885.575,259.2341,81.13766,82.17189,2973.387,353.4788
3.499997,S,3.499997,1.761824,0.006679453,0.2897225,0.0009818893,356.4483,57.23306,213.6042,0.7242727,81.74107,104.1502,3.68571,48.9955385873653,46.89662,14.18696,1989.84652834968,1965.466,275.328,81.02838,82.02573,3942.183,488.0005
3.999997,S,3.999997,1.752128,0.001522907,0.343335,0.0001593758,0,56.84113,240.8291,0.1116022,80.72876,104.1741,3.856142,-168.228509917344,-167.131,-19.1849,1970.12860020722,1945.446,275.6723,80.92248,81.93481,4923.83,626.3848
4.500008,S,4.500008,1.685615,0.002626962,0.351697,0.0004096829,0,56.8411,219.6543,0.2554474,80.72876,104.2915,3.875449,-156.2411838065,-155.2325,-17.72508,1889.20938115041,1864.971,266.4462,80.81476,81.86924,5875.783,761.8811
5.00002,S,5.00002,1.623543,0.002470836,0.3599452,0.0003975354,0,56.8411,200.7451,0.2213547,80.72876,104.4012,3.893493,-145.538996930156,-144.6202,-16.32781,1813.95623969419,1790.11,257.9531,80.70187,81.80018,6788.957,892.9519
5.500031,S,5.500031,1.565453,0.002505088,0.3680745,0.0004035907,0,56.8411,183.7956,0.201217,80.72876,104.5017,3.910026,-135.945934738677,-135.1071,-15.07875,1743.77130642299,1720.27,250.1155,80.58517,81.72755,7666.006,1019.943
6.000042,S,6.000042,1.510944,0.002626297,0.3760839,0.0004227218,0,56.8411,168.5516,0.189167,80.72876,104.5934,3.925113,-127.318140418505,-126.5509,-13.95631,1678.13563314413,1654.936,242.8676,80.46443,81.65124,8509.3,1143.165
6.500054,S,6.500054,1.459669,0.002806697,0.3839748,0.0004509939,0,56.8411,154.7998,0.1815506,80.72876,104.6767,3.938808,-119.534994114129,-118.8322,-12.94307,1616.59773168166,1593.66,236.1516,80.33948,81.57114,9320.98,1262.899
7.000065,S,7.000065,1.411322,0.00298329,0.3917507,0.0004773923,0,56.8411,142.361,0.1732332,80.72876,104.7519,3.951168,-112.495064579647,-111.8507,-12.02333,1558.76480076658,1536.052,229.9183,80.21008,81.48709,10102.97,1379.397
7.500077,S,7.500077,1.365631,0.003185259,0.3994171,0.0005102443,0,56.8411,131.081,0.167217,80.72876,104.8189,3.962189,-106.111126993697,-105.5197,-11.18768,1504.28820097172,1481.766,224.1229,80.07612,81.39899,10857.03,1492.89
8.000088,S,8.000088,1.322067,0.003428012,0.4070288,0.000548712,0,56.8411,122.5601,0.1649927,80.72876,104.8783,3.971967,-101.287723109501,-100.7341,-10.57563,1452.53193855752,1430.172,218.676,79.93716,81.30669,11584.65,1603.577
8.500099,S,8.500099,1.280477,0.00366048,0.4145891,0.0005841735,0,56.8411,113.8054,0.1601373,80.72876,104.93,3.98047,-96.3327602997283,-95.81946,-9.931354,1403.30699326274,1381.082,213.555,79.79293,81.21004,12287.12,1711.621
9.000111,S,9.000111,1.240745,0.003926178,0.4220983,0.0006224207,0,56.8411,105.8095,0.1558151,80.72876,104.9468,3.983232,-91.8072363314644,-91.3307,-9.341942,1356.45182060662,1334.335,208.7421,79.64323,81.10877,12965.65,1817.184
9.500122,S,9.500122,1.202716,0.004227782,0.4295676,0.0006680602,0,56.8411,98.48989,0.152967,80.72876,104.9558,3.984716,-87.664471166156,-87.22147,-8.80197,1311.76405265858,1289.73,204.211,79.48784,81.00269,13621.36,1920.411
10.00013,S,10.00013,1.166253,0.004523568,0.4370109,0.0007118729,0,56.8411,91.7765,0.1493036,80.72876,104.9487,3.983545,-83.864847833648,-83.45261,-8.305094,1269.06945218982,1247.094,199.9384,79.32646,80.89165,14255.28,2021.437
10.50014,S,10.50014,1.131234,0.004840326,0.4439139,0.0007543293,0,56.8411,85.50622,0.1451091,80.72876,104.8622,3.969311,-80.3161662168291,-79.93281,-7.837885,1228.21231769335,1206.272,195.9053,79.15881,80.77539,14868.34,2120.389
11.00016,S,11.00016,1.097576,0.005222953,0.4503757,0.0008042756,0,56.8411,79.66866,0.142088,80.72876,104.7793,3.955682,-77.0124591793282,-76.656,-7.401117,1189.08046538974,1167.152,192.0992,78.98461,80.6536,15461.43,2217.381
11.50017,S,11.50017,1.065176,0.00560691,0.4568127,0.0008578625,0,56.8411,74.29719,0.1393469,80.72876,104.7648,3.953303,-73.9725262503611,-73.64075,-6.998184,1151.54319169654,1129.604,188.5028,78.8035,80.52606,16035.37,2312.523
12.00018,S,12.00018,1.034124,0.005344888,0.4443879,0.0008173543,0,56.8411,66.5481,0.122249,80.72876,104.4754,3.9057,-69.5918716520804,-69.30125,-6.353373,1115.6930912515,1093.718,185.1372,78.61476,80.39243,16590.93,2405.92
12.50019,S,12.50019,1.005281,0.005617284,0.4162013,0.000849609,0,56.8411,57.5728,0.1173867,80.72876,103.8141,3.796931,-64.5209859566583,-64.27912,-5.58143,1082.43438797049,1060.384,182.1626,78.42091,80.25234,17129.18,2497.729
13.0002,S,13.0002,0.9784541,0.006664648,0.3899901,0.001003242,0,56.8411,49.9848,0.128439,80.72876,103.1985,3.695689,-60.2347461339685,-60.03251,-4.931773,1051.51954492072,1029.357,179.5419,78.22234,80.10592,17651.38,2588.141
13.50021,S,13.50021,0.953334,0.008108685,0.3654495,0.001214731,0,56.8411,43.51344,0.1444774,80.72876,102.6224,3.600926,-56.5803343943839,-56.41085,-4.376099,1022.59583945278,1000.288,177.2212,78.01844,79.95315,18158.58,2677.32
14.00023,S,14.00023,0.9296697,0.009601939,0.3423323,0.001431996,0,56.8411,37.95227,0.1585879,80.72876,102.0802,3.511746,-53.4412245038622,-53.29919,-3.89369,995.378822003077,972.895,175.1591,77.80849,79.79385,18651.67,2765.405
14.50024,S,14.50024,0.9072297,0.01074377,0.3253566,0.001597155,0,56.8411,33.64848,0.1650065,80.72876,101.5666,3.427281,-51.0124883636386,-50.8909,-3.519981,969.603466820008,946.9151,173.317,77.59157,79.62777,19131.44,2852.517
15.00025,S,15.00025,0.8855287,0.01142565,0.3241811,0.001696686,0,56.8411,31.30455,0.1636703,80.72876,101.4013,3.400085,-49.6878963322791,-49.57598,-3.333054,944.735903349199,921.8207,171.6072,77.36622,79.45447,19598.47,2938.744
15.50026,S,15.50026,0.8643016,0.0123294,0.3240197,0.001830648,0,56.8411,29.22532,0.1649456,80.72876,101.4013,3.400085,-48.5125707533867,-48.40891,-3.169693,920.494385846288,897.3331,169.9827,77.13211,79.27351,20053.12,3024.138
16.00027,S,16.00027,0.8435125,0.01316842,0.3238538,0.001954147,0,56.8411,27.29158,0.1645069,80.72876,101.4013,3.400085,-47.4196642404606,-47.32367,-3.015761,896.835243712068,873.4082,168.4377,76.88845,79.08445,20495.66,3108.74
16.50028,S,16.50028,0.8231308,0.01407835,0.3236828,0.002089743,0,56.8411,25.49103,0.1644017,80.72876,101.4013,3.400085,-46.4020845418788,-46.31315,-2.871513,873.719973334531,850.007,166.9669,76.63483,78.88688,20926.38,3192.588
17.00029,S,17.00029,0.8031278,0.01514547,0.3235064,0.002248558,0,56.8411,23.81261,0.1653377,80.72876,101.4013,3.400085,-45.4535024995665,-45.37105,-2.736551,851.112845924576,827.0931,165.5657,76.37073,78.68027,21345.52,3275.719
17.50031,S,17.50031,0.7834789,0.0162528,0.323324,0.002413072,0,56.8411,22.24647,0.1658573,80.72876,101.4013,3.400085,-44.5684511066634,-44.492,-2.609362,828.982407382617,804.6342,164.2303,76.09536,78.46407,21753.32,3358.166
18.00032,S,18.00032,0.7641608,0.01747658,0.3231351,0.002594858,0,56.8411,20.78368,0.1667209,80.72876,101.4013,3.400085,-43.7418234732233,-43.67091,-2.489727,807.299350340454,782.6002,162.9565,75.80811,78.23769,22150,3439.959
18.50033,S,18.50033,0.7451514,0.0188291,0.3229392,0.002795824,0,56.8411,19.41616,0.167914,80.72876,101.4013,3.400085,-42.9690301166813,-42.90323,-2.377058,786.035956912051,760.9624,161.7406,75.50822,78.0005,22535.77,3521.13
19.00034,S,19.00034,0.7264325,0.02025515,0.3227356,0.003007056,0,56.8411,18.13671,0.1688044,80.72876,101.4013,3.400085,-42.2460471175499,-42.18499,-2.270488,765.168291934511,739.6957,160.5796,75.1948,77.75178,22910.81,3601.708
19.50035,S,19.50035,0.707986,0.02190601,0.3225238,0.003252418,0,56.8411,16.93875,0.1706287,80.72876,101.4013,3.400085,-41.5690400670317,-41.51235,-2.170228,744.673996178701,718.7766,159.4701,74.86713,77.49079,23275.31,3681.718
20.00036,S,20.00036,0.6897961,0.02366203,0.3223031,0.003512131,0,56.8411,15.81631,0.1721601,80.72876,101.4013,3.400085,-40.9347238087299,-40.88209,-2.07517,724.532234369365,698.1828,158.4095,74.5241,77.21668,23629.44,3761.186
20.50037,S,20.50037,0.6718484,0.02561492,0.3220728,0.003802587,0,56.8411,14.76395,0.174118,80.72876,101.4013,3.400085,-40.3399529664499,-40.29107,-1.985317,704.724112689398,677.894,157.3947,74.16475,76.92857,23973.34,3840.135
21.00039,S,21.00039,0.6541294,0.02778026,0.321832,0.004124608,0,56.8411,13.77675,0.1763641,80.72876,101.4013,3.400085,-39.7819401098338,-39.73653,-1.900248,685.23239179733,657.891,156.4241,73.78786,76.62536,24307.18,3918.588
21.5004,S,21.5004,0.6366284,0.03015809,0.3215725,0.004476923,0,56.8411,12.84994,0.178692,80.72876,101.4013,3.400085,-39.258015985814,-39.21583,-1.819477,666.042167337074,638.1572,155.4948,73.39225,76.30603,24631.08,3996.566
22.00041,S,22.00041,0.6193328,0.03283384,0.3214246,0.004874823,0,56.8411,11.98431,0.181547,80.72876,101.4013,3.400085,-38.7684998340957,-38.72927,-1.743624,647.137580996282,618.6746,154.6045,72.97655,75.96935,24945.16,4074.089
