Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,67,0,0,88.35,101.4013,2.146592,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2985605,4.422732,0.3883228,0.6878318,1629.993,63.8274,9.479436,17.5682,87.04522,101.4013,2.361193,784.601856045232,783.248,46.07215,349.305022234313,345.6005,15.52949,86.07082,87.42716,82.08345,3.582104
0.9999993,S,0.9999993,0.6616387,-1.526477,0.3383608,-0.2298411,1718.62,60.08991,40.17574,-27.92012,85.74045,101.4013,2.575794,868.352481894219,852.6697,164.2876,764.763160736928,757.3658,70.90391,80.49792,84.65161,358.5443,22.4639
1.499999,S,1.499999,1.05095,0.1113609,0.4461493,0.02676163,1751.141,56.24373,131.3606,7.997506,84.43567,104.608,3.317816,894.649270066326,885.373,128.4989,1207.99274639231,1195.332,139.2279,81.80874,83.35633,848.058,76.29089
1.999998,S,1.999998,1.425124,-0.09606601,0.3786474,-0.01715826,1513.125,52.57601,199.8512,-9.142579,83.1309,104.5975,3.530699,772.127213473615,761.3317,128.6642,1629.86565150029,1611.919,205.9956,81.39348,82.71735,1554.705,163.1689
2.499998,S,2.499998,1.746452,-0.0201955,0.3325915,-0.002815013,1346.207,49.43903,255.0482,-2.173499,81.82612,104.1635,3.673909,678.414508392178,669.274,110.989,1988.73252231421,1966.25,262.9832,81.35634,82.38198,2452.785,280.6555
2.999998,S,2.999998,1.976308,-0.003341974,0.3061792,-0.0006537968,801.3087,47.06007,288.894,-0.6186467,80.52135,103.7619,3.822455,318.672167566038,313.5952,56.65687,2238.03907044072,2212.119,304.4218,81.26811,82.16443,3507.556,423.8644
3.499997,S,3.499997,2.05632,0.002410151,0.2978463,0.0003323042,359.5324,45.83302,291.0753,0.3247955,79.21657,103.6182,4.013429,18.0471380472279,14.90181,10.18014,2316.5711266959,2289.139,320.2416,81.1762,82.03622,4640.227,581.0975
3.999997,S,3.999997,2.02632,0.002014821,0.3533424,0.0003163142,0,45.44108,320.2417,0.2860307,77.91962,103.6731,4.235768,-258.631674996031,-256.6537,-31.92525,2271.14963618834,2243.661,317.0788,81.07861,81.95611,5778.112,741.1965
4.500008,S,4.500008,1.924168,0.001841838,0.3636338,0.0002918314,0,45.44105,283.9424,0.2273826,77.91962,103.86,4.266516,-232.931804093561,-231.1836,-28.48453,2148.6671300048,2122.037,302.0299,80.97181,81.89949,6868.4,895.9028
5.00002,S,5.00002,1.831522,0.001925957,0.3740959,0.0003079338,0,45.44105,253.1193,0.2079222,77.91962,104.029,4.294308,-211.108724265504,-209.5529,-25.58272,2037.97506415757,2012.095,288.5451,80.86118,81.83912,7900.935,1043.486
5.500031,S,5.500031,1.747062,0.002100514,0.3843313,0.0003371203,0,45.44105,226.4946,0.1982787,77.91962,104.1818,4.319445,-192.258132088715,-190.868,-23.07804,1937.41524288402,1912.191,276.4062,80.74644,81.77489,8881.118,1184.672
6.000042,S,6.000042,1.669726,0.002253133,0.3943273,0.0003621501,0,45.44105,203.3468,0.1863986,77.91962,104.32,4.342176,-175.8694366877,-174.6238,-20.89467,1845.64617171301,1820.995,265.4363,80.62735,81.70672,9813.622,1320.087
6.500054,S,6.500054,1.598611,0.002431161,0.4040837,0.0003897693,0,45.44105,183.1064,0.1762969,77.91962,104.4447,4.362686,-161.539184996731,-160.42,-18.98241,1761.53538815711,1737.384,255.4873,80.50381,81.63445,10702.51,1450.278
7.000065,S,7.000065,1.532565,0.002643605,0.4136655,0.0004234406,0,45.44105,167.6228,0.1712777,77.91962,104.5573,4.381201,-150.576245015008,-149.5511,-17.54064,1683.68490042879,1659.973,246.367,80.37541,81.558,11551.25,1575.714
7.500077,S,7.500077,1.470862,0.002836866,0.4231058,0.0004531434,0,45.44105,152.7896,0.163353,77.91962,104.6588,4.397892,-140.074251038021,-139.1408,-16.14415,1611.23419637343,1587.909,237.9598,80.24179,81.47723,12362.64,1696.767
8.000088,S,8.000088,1.413165,0.003062161,0.4323944,0.000488986,0,45.44105,139.6212,0.1576281,77.91962,104.7489,4.412714,-130.751013217642,-129.8988,-14.904,1543.72723232013,1520.739,230.2099,80.10283,81.39191,13139.27,1813.783
8.500099,S,8.500099,1.359041,0.003302469,0.4415468,0.0005263165,0,45.44105,127.8825,0.1521824,77.91962,104.828,4.425725,-122.439819902409,-121.66,-13.79688,1480.62348560059,1457.927,223.0453,79.95828,81.30188,13883.45,1927.074
9.000111,S,9.000111,1.308117,0.003566732,0.4505793,0.0005666134,0,45.44105,117.3781,0.1473675,77.91962,104.8962,4.436932,-115.002696531329,-114.2876,-12.80487,1421.45813316929,1399.012,216.4041,79.80792,81.20698,14597.24,2036.916
9.500122,S,9.500122,1.260058,0.003854092,0.4595114,0.0006087021,0,45.44105,107.9444,0.1427649,77.91962,104.9394,4.444048,-108.323710162596,-107.6667,-11.91251,1365.81717784585,1343.583,210.233,79.65141,81.10693,15282.48,2143.558
10.00013,S,10.00013,1.214588,0.004175049,0.4683614,0.0006565185,0,45.44105,99.44527,0.1391796,77.91962,104.9537,4.446401,-102.306283566712,-101.7015,-11.10768,1313.3557970404,1291.298,204.4854,79.48849,81.00156,15940.81,2247.221
10.50014,S,10.50014,1.171453,0.004478098,0.4771532,0.0007007939,0,45.44105,91.76526,0.1345697,77.91962,104.9583,4.447158,-96.8688205097275,-96.31127,-10.37823,1263.76069613573,1241.846,199.12,79.31879,80.89062,16573.74,2348.107
11.00016,S,11.00016,1.130443,0.004890473,0.4853613,0.0007564999,0,45.44105,84.71169,0.1318359,77.91962,104.8601,4.431002,-91.8749602726411,-91.36079,-9.706409,1216.77125430714,1194.968,194.1035,79.14202,80.7738,17182.61,2446.398
11.50017,S,11.50017,1.091401,0.005305213,0.4929725,0.0008120488,0,45.44105,78.22559,0.1286662,77.91962,104.7665,4.415603,-87.2829711407966,-86.80884,-9.085282,1172.18746684267,1150.465,189.4111,78.95774,80.65076,17768.65,2542.264
12.00018,S,12.00018,1.05416,0.00568212,0.5005434,0.0008628521,0,45.44105,72.33382,0.1245088,77.91962,104.8174,4.423977,-83.1118268201381,-82.67408,-8.518935,1129.80198696344,1108.131,185.0151,78.76553,80.52125,18333.01,2635.859
12.50019,S,12.50019,1.01927,0.005368514,0.4713176,0.0008084407,0,45.44105,62.20764,0.1065556,77.91962,104.135,4.311738,-75.9510306421791,-75.5868,-7.429315,1090.21294839993,1068.554,181.0248,78.56547,80.38476,18876.83,2727.345
13.0002,S,13.0002,0.9874305,0.006086474,0.4401396,0.0009116149,0,45.44105,53.30026,0.1102505,77.91962,103.4046,4.191617,-69.653439612063,-69.35212,-6.47187,1054.09826676732,1032.401,177.5626,78.36088,80.24118,19401.76,2816.971
13.50021,S,13.50021,0.9581224,0.007456378,0.4114404,0.001109457,0,45.44105,45.89163,0.1235927,77.91962,102.7324,4.081046,-64.4166284826204,-64.16605,-5.676271,1020.86969391668,999.0908,174.5359,78.15126,80.09072,19909.35,2904.979
14.00023,S,14.00023,0.9309183,0.008960673,0.3848016,0.0013294,0,45.44105,39.66121,0.1368556,77.91962,102.1089,3.978506,-60.0140968252265,-59.80524,-5.002508,990.04968903347,968.1505,171.8741,77.93563,79.93326,20400.92,2991.567
14.50024,S,14.50024,0.9054768,0.01017374,0.3642967,0.001504211,0,45.44105,34.79235,0.1434931,77.91962,101.5266,3.882722,-56.5746203047851,-56.39741,-4.47435,961.252845488708,939.1981,169.521,77.71304,79.76853,20877.55,3076.906
15.00025,S,15.00025,0.881107,0.0109234,0.3628084,0.001614037,0,45.44105,32.15213,0.1428704,77.91962,101.4013,3.862115,-54.7074639799452,-54.54529,-4.20927,933.722867515136,911.4863,167.3534,77.48158,79.59608,21340.04,3161.119
