Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,67,0,0,88.35,101.4013,2.146592,0,0,0,0,0,0,87.5,87.5,0,0
0.4999998,S,0.4999998,0.2986073,4.420622,0.3566681,0.6900954,1629.993,63.8274,8.709436,17.63181,87.04522,101.4013,2.361193,784.989222022684,783.6368,46.05914,349.362463693976,345.6592,15.52511,86.07082,87.42832,82.09044,3.581524
0.9999993,S,0.9999993,0.6622719,-1.526372,0.2926148,-0.2310759,1718.621,60.08991,34.81038,-28.12523,85.74045,101.4013,2.575794,871.221059805535,855.5322,164.5928,765.515115634973,758.1183,70.95242,80.50225,84.65325,358.7061,22.46744
1.499999,S,1.499999,1.053979,0.1081135,0.3924196,0.02642881,1751.146,56.24373,116.2033,7.944119,84.43567,104.597,3.316007,903.319936608564,894.0011,129.4177,1211.53067826203,1198.864,139.5252,81.8157,83.36172,849.188,76.37183
1.999998,S,1.999998,1.433257,-0.09375273,0.3300533,-0.01698578,1513.145,52.57601,176.1702,-9.154013,83.1309,104.5871,3.528986,786.616669645495,775.7591,130.2444,1639.24534425178,1621.263,206.9316,81.41177,82.72633,1558.962,163.5424
2.499998,S,2.499998,1.762147,-0.02101284,0.2885785,-0.003071183,1346.258,49.43903,225.201,-2.413447,81.82612,104.1333,3.668945,697.864205357604,688.5826,113.4392,2006.665593951,1984.098,264.8952,81.37795,82.39546,2463.78,281.7214
2.999998,S,2.999998,2.001492,-0.002586288,0.2651608,-0.0005845148,801.4099,47.06007,256.3885,-0.5668809,80.52135,103.7164,3.814973,340.940734635704,335.7195,59.43906,2266.57019248218,2240.492,307.6273,81.29762,82.18198,3530.104,426.1947
3.499997,S,3.499997,2.091408,0.002664136,0.2587925,0.0003947485,359.7041,45.83302,261.2074,0.3985584,79.21657,103.5538,4.002833,38.0817146763128,35.80745,12.96316,2355.99336759393,2328.315,324.867,81.21149,82.05687,4679.737,585.3834
3.999997,S,3.999997,2.0706,0.001657475,0.314294,0.0002648684,0,45.44108,296.6898,0.2495124,77.91962,103.5927,4.222546,-241.960340608516,-240.1572,-29.48433,2320.51524365672,2292.688,323.0834,81.11956,81.97875,5839.779,748.1445
4.500008,S,4.500008,1.975661,0.001670028,0.3219754,0.0002678834,0,45.44105,264.0648,0.2192667,77.91962,103.766,4.251057,-218.86198535803,-217.2617,-26.41822,2205.70037854984,2178.653,309.1541,81.0197,81.92356,6956.567,906.1404
5.00002,S,5.00002,1.889081,0.001778033,0.3309603,0.000285633,0,45.44105,237.0028,0.2041556,77.91962,103.9242,4.277065,-199.701869922543,-198.2683,-23.88552,2101.34002263146,2074.977,296.6057,80.91642,81.86501,8019.062,1057.528
5.500031,S,5.500031,1.809646,0.001893935,0.3398347,0.0003063439,0,45.44105,213.4171,0.1920345,77.91962,104.0688,4.300853,-183.003042634182,-181.7148,-21.67591,2005.91914156136,1980.158,285.2384,80.80949,81.80302,9032.027,1202.943
6.000042,S,6.000042,1.73647,0.002041431,0.3485722,0.0003288973,0,45.44105,192.7282,0.1815313,77.91962,104.201,4.322602,-168.355446521888,-167.1948,-19.73462,1918.30839980083,1893.076,274.9055,80.69878,81.73747,9999.596,1342.939
6.500054,S,6.500054,1.668822,0.002180087,0.3571554,0.0003513588,0,45.44105,174.4823,0.1713608,77.91962,104.3218,4.342467,-155.4377089741,-154.3898,-18.01863,1837.57787546147,1812.809,265.4845,80.58422,81.6683,10925.4,1478.001
7.000065,S,7.000065,1.605469,0.002335787,0.3656535,0.0003758312,0,45.44105,160.8899,0.1650953,77.91962,104.4329,4.360741,-145.813766823809,-144.847,-16.76309,1762.25069759549,1737.894,256.7714,80.46528,81.59544,11812.49,1608.537
7.500077,S,7.500077,1.546088,0.002515297,0.3740469,0.0004046872,0,45.44105,147.4261,0.1592463,77.91962,104.5347,4.377484,-136.281375497755,-135.3966,-15.504,1691.91713613029,1667.924,248.7165,80.34187,81.5187,12663.39,1734.883
8.000088,S,8.000088,1.490311,0.002703276,0.382331,0.0004345095,0,45.44105,135.395,0.1536318,77.91962,104.6274,4.392723,-127.76332921209,-126.9518,-14.37737,1626.09136899119,1602.417,241.257,80.21383,81.43796,13480.48,1857.352
8.500099,S,8.500099,1.437762,0.002893774,0.3905118,0.0004643158,0,45.44105,124.602,0.147924,77.91962,104.7112,4.406507,-120.122016082164,-119.3762,-13.36494,1564.30156341067,1540.905,234.3308,80.08096,81.35308,14265.84,1976.228
9.000111,S,9.000111,1.388121,0.003101658,0.3985963,0.0004959617,0,45.44105,114.8853,0.1427341,77.91962,104.7864,4.41888,-113.242702518568,-112.556,-12.45217,1506.14155573311,1482.985,227.8849,79.94306,81.2639,15021.38,2091.763
9.500122,S,9.500122,1.341105,0.00332697,0.4065932,0.0005319059,0,45.44105,106.1092,0.1386081,77.91962,104.8529,4.429817,-107.029303816032,-106.3959,-11.62688,1451.25650846189,1428.305,221.8723,79.79992,81.17027,15748.8,2204.185
10.00013,S,10.00013,1.296465,0.003574874,0.4145127,0.0005705602,0,45.44105,98.15828,0.1349159,77.91962,104.9108,4.439345,-101.400276835182,-100.8151,-10.87804,1399.33223348445,1376.553,216.2528,79.65125,81.07195,16449.64,2313.701
10.50014,S,10.50014,1.25399,0.003817294,0.4223645,0.0006072769,0,45.44105,90.93587,0.1305622,77.91962,104.942,4.444474,-96.2869555196679,-95.74561,-10.19588,1350.10454759462,1327.467,210.9904,79.49685,80.96883,17125.3,2420.497
11.00016,S,11.00016,1.21347,0.004139597,0.4301641,0.0006542898,0,45.44105,84.35667,0.1281289,77.91962,104.954,4.446444,-91.6289949821346,-91.1274,-9.574429,1303.31203405527,1280.787,206.0531,79.33637,80.86057,17777.04,2524.745
11.50017,S,11.50017,1.174748,0.004441578,0.4379243,0.0006986493,0,45.44105,78.35059,0.1248251,77.91962,104.9583,4.447153,-87.3768560266554,-86.91157,-9.005219,1258.75504936238,1236.315,201.413,79.16951,80.74701,18406,2626.599
12.00018,S,12.00018,1.137667,0.004773039,0.4453124,0.0007440138,0,45.44105,72.79855,0.1214635,77.91962,104.8786,4.434037,-83.4462476005336,-83.0146,-8.476581,1216.24157675376,1193.86,197.0459,78.99594,80.62785,19013.25,2726.203
