Time (s),Acceleration m/s^2
0,0
0.001055643,0
0.002111287,0
0.004222573,0
0.00633386,0
0.008445147,0
0.008950426,0
0.009455704,0
0.010466262,1.533317733
0.01147682,7.555003425
0.012487378,13.57682713
0.022592955,73.8134197
0.032698533,134.1218163
0.04280411,194.5421186
0.043044463,195.981108
0.043284816,197.4201994
0.043525169,198.8593549
0.043765522,200.2986172
0.044005875,201.6994748
0.044486581,201.4277338
0.044967286,201.1559522
0.045447992,200.8841352
0.05025505,198.1634767
0.055062108,195.4390268
0.059869166,192.711321
0.065137934,191.6577213
0.069232209,193.0476723
0.073326484,194.4390451
0.077420759,195.8318713
0.079058469,195.4902966
0.080696179,194.6564171
0.082333889,193.8221437
0.085609309,192.1523995
0.088884729,190.4810979
0.092160149,188.8082218
0.09270585,188.5293704
0.093251552,188.2504709
0.093797253,187.9715285
0.094342954,187.977352
0.094888656,188.1515579
0.095980058,188.5000383
0.097071461,188.8486251
0.107985488,192.3391586
0.108968387,192.6539623
0.109951287,192.285588
0.110934187,191.8944044
0.112899987,191.111702
0.114865787,190.3285505
0.116831586,189.5446582
0.124808102,186.3608424
0.129785857,186.6277835
0.134763613,186.9854692
0.139741369,187.3434393
0.14969688,187.8069106
0.159652391,187.5880962
0.169607902,187.3680072
0.190530959,186.9012074
0.203069628,187.450798
0.215608298,188.3198083
0.225551481,189.0107783
0.229287135,189.2335886
0.233022789,189.4933918
0.240494096,190.013276
0.247965404,190.5335185
0.255436711,191.0546217
0.303910146,194.4523894
0.352383581,197.9871841
0.357719116,198.6940067
0.363054652,199.4014522
0.368390187,200.1098096
0.379061257,201.5289543
0.389732328,202.9514877
0.400403398,204.3780316
0.411074469,205.8076917
0.417301722,206.6429979
0.423528976,207.4789574
0.429756229,208.2315749
0.442210737,209.012871
0.454665244,209.7955554
0.467119751,210.5801058
0.481091465,211.4617776
0.49506318,212.3443412
0.509034894,213.2297759
0.521409298,214.0150768
0.533783701,214.8012812
0.546158104,215.5895681
0.566303866,216.8337504
0.586449628,217.8104503
0.606595389,218.789461
0.626741151,219.7702365
0.646886913,220.7528876
0.667032674,221.7378693
0.698513358,223.2381986
0.729994041,224.443649
0.761474725,225.6510239
0.792955408,226.8590257
0.816525588,227.7644917
0.840095767,228.6701731
0.863665947,229.5761444
0.887236127,230.4823877
0.897251131,230.8674128
0.907266134,231.2521975
0.917281138,231.6369464
0.932945459,232.2392593
0.94860978,232.837967
0.964274102,233.433758
0.971129669,233.6945092
0.977985236,233.9550571
0.984840803,234.2153842
0.993991393,234.4884903
1.003141983,234.7073742
1.012292573,234.9259298
1.030426561,235.3533508
1.04856055,235.7782999
1.066694539,236.2015958
1.084828528,236.6230532
1.096221095,236.8870923
1.107613663,237.15046
1.11900623,237.4132114
1.148836148,238.0982328
1.178666065,238.779704
1.208495983,239.4579734
1.2383259,240.1327288
1.250150121,240.3990874
1.261974342,240.6647385
1.273798562,241.0037603
1.278184535,241.1470556
1.282570508,241.29031
1.286956482,241.4335489
1.292608594,241.6180965
1.298260707,241.8025926
1.30391282,241.9871924
1.319138691,242.4839175
1.334364563,242.9800306
1.346886244,243.3882837
1.359407926,243.7961011
1.371929607,244.2036361
1.39551084,244.9711062
1.419092073,245.7376585
1.442673305,246.5026185
1.466254538,247.1166453
1.471010237,247.2001269
1.475765937,247.2710352
1.480521637,247.3100795
1.490425995,247.382349
1.500330354,247.0603779
1.510234712,246.6782294
1.51461699,246.506054
1.518999268,246.3319293
1.523381545,246.1556749
1.52813765,245.9623098
1.532893754,245.7667935
1.537649858,245.5690547
1.551993909,244.9595309
1.566337961,244.3297545
1.580682012,243.6790632
1.600372696,242.0495862
1.620063381,240.346175
1.639754065,238.6035354
1.659444749,237.4404702
1.664489797,237.330823
1.669534846,237.2210069
1.674579894,237.1109947
1.692227114,235.61118
1.709874334,232.6328902
1.723200992,231.1764831
1.736527649,230.5366502
1.749854306,229.8937659
1.763180963,229.2488678
1.768413274,228.9945057
1.773645584,228.7398965
1.778877895,228.4847934
1.80990067,225.884722
1.840923444,223.0382269
1.849696938,222.2294111
1.858470432,221.419115
1.867243926,220.6051108
1.876295336,219.7673934
1.885346746,218.9293606
1.894398156,218.0917633
1.89847709,217.7140289
1.902556025,217.3340882
1.906634959,216.9538548
1.910557523,216.5880464
1.914480087,216.2220384
1.91840265,215.8555354
1.92964357,214.8042296
1.94088449,213.7950362
1.95212541,212.9617951
1.969729867,211.6520372
1.987334325,210.3352911
2.004938782,209.0141575
2.02462208,207.532275
2.040312287,206.3445904
2.056002495,205.1547859
2.071692702,203.959353
2.08738291,202.7598026
2.104898551,201.4178968
2.122414192,200.0689443
2.139929834,198.7683073
2.157445475,198.1127971
2.174961116,197.4552417
2.196634219,196.638399
2.213890533,195.9838894
2.231146846,195.327213
2.24840316,194.6687426
2.265659473,194.0054385
2.287275608,193.1708831
2.308891743,192.3329037
2.326666519,191.6394823
2.344441295,190.9450881
2.362216071,190.2484785
2.379990847,189.5486852
2.397765623,188.8481757
2.420253739,187.9581272
2.442741855,187.0646037
2.465229971,186.1687091
2.487718087,185.2684663
2.510206203,183.9613684
2.53269432,182.5639838
2.555182436,181.1601205
2.577670552,179.7503902
2.600158668,178.428333
2.603332844,177.6111732
2.60650702,176.793385
2.609681197,175.9751668
2.61602955,174.3370307
2.622377902,172.697097
2.628726255,171.0552685
2.643929607,167.1147635
2.659132959,163.1613068
2.674336311,159.2024432
2.689539663,155.2294779
2.716798002,148.0868968
2.74405634,140.915513
2.764364965,135.5519608
2.784673589,130.1777942
2.804982214,124.7881576
2.825290838,119.3863209
2.851769932,112.3265895
2.878249025,105.2432808
2.899655825,99.51158275
2.921062626,94.07697437
2.924926456,93.8853952
2.928790286,93.6937415
2.932654116,93.50198325
2.940381777,93.11828288
2.948109437,92.73441366
2.955837098,92.35036152
2.98276746,91.0094638
3.000920958,90.1041483
3.019074455,89.19819581
3.028128987,88.04251629
3.03718352,86.42662241
3.046238052,84.80967392
3.057653452,82.76997425
3.069068853,80.72901591
3.080484254,78.68666706
3.101048771,75.00331866
3.121613289,71.31748398
3.142177807,67.69469538
3.162742324,64.3815164
3.183306842,61.06563558
3.203871359,57.74960181
3.224435877,54.4316745
