Time (s),Velocity m/s
0,0
0.001055643,0
0.002111287,0
0.004222573,0
0.00633386,0
0.008445147,0
0.008950426,0
0.009455704,0
0.010466262,0.000774753
0.01147682,0.00536689
0.012487378,0.016044357
0.022592955,0.457608815
0.032698533,1.508261641
0.04280411,3.168931081
0.043044463,3.216035708
0.043284816,3.263486226
0.043525169,3.311282648
0.043765522,3.359425002
0.044005875,3.407904055
0.044486581,3.504796849
0.044967286,3.601559005
0.045447992,3.698190506
0.05025505,4.657313011
0.055062108,5.603348041
0.059869166,6.536278656
0.065137934,7.548854361
0.069232209,8.336399179
0.073326484,9.12963775
0.077420759,9.928575958
0.079058469,10.24901206
0.080696179,10.56848564
0.082333889,10.88659325
0.085609309,11.5187076
0.088884729,12.14535029
0.092160149,12.76651619
0.09270585,12.86939692
0.093251552,12.97212545
0.093797253,13.07470176
0.094342954,13.17728126
0.094888656,13.27995581
0.095980058,13.48568526
0.097071461,13.69179515
0.107985488,15.77194197
0.108968387,15.96114682
0.109951287,16.15032534
0.110934187,16.33913057
0.112899987,16.71558723
0.114865787,17.09050481
0.116831586,17.46388214
0.124808102,18.96309011
0.129785857,19.89141323
0.134763613,20.82129097
0.139741369,21.75294989
0.14969688,23.62035666
0.159652391,25.48898127
0.169607902,27.35542114
0.190530959,31.27084917
0.203069628,33.61778713
0.215608298,35.97361876
0.225551481,37.84955282
0.229287135,38.55645869
0.233022789,39.26433532
0.240494096,40.6820313
0.247965404,42.10361361
0.255436711,43.5290867
0.303910146,52.872328
0.352383581,62.38318513
0.357719116,63.44143402
0.363054652,64.50345568
0.368390187,65.56925415
0.379061257,67.71219788
0.389732328,69.87030288
0.400403398,72.04360687
0.411074469,74.23214876
0.417301722,75.51635582
0.423528976,76.80576547
0.429756229,78.10012012
0.442210737,80.69837705
0.454665244,83.30636638
0.467119751,85.92410679
0.481091465,88.87236778
0.49506318,91.83293758
0.509034894,94.8058391
0.521409298,97.44918286
0.533783701,100.1022287
0.546158104,102.7649918
0.566303866,107.1204297
0.586449628,111.4981463
0.606595389,115.8954511
0.626741151,120.3123642
0.646886913,124.7488997
0.667032674,129.2050769
0.698513358,136.2073156
0.729994041,143.2522514
0.761474725,150.3337635
0.792955408,157.4526513
0.816525588,162.8071925
0.840095767,168.1827644
0.863665947,173.5794251
0.887236127,178.997256
0.897251131,181.3057321
0.907266134,183.618054
0.917281138,185.9342287
0.932945459,189.5646753
0.94860978,193.2045816
0.964274102,196.85393
0.971129669,198.4540556
0.977985236,200.0559935
0.984840803,201.6597446
0.993991393,203.8028681
1.003141983,205.9483016
1.012292573,208.0957997
1.030426561,212.3576249
1.04856055,216.6274576
1.066694539,220.905273
1.084828528,225.1910374
1.096221095,227.8875872
1.107613663,230.5872432
1.11900623,233.2899907
1.148836148,240.381308
1.178666065,247.4934222
1.208495983,254.6260736
1.2383259,261.7790362
1.250150121,264.6199608
1.261974342,267.4640349
1.273798562,270.3116852
1.278184535,271.3690253
1.282570508,272.4269935
1.286956482,273.4855894
1.292608594,274.8507055
1.298260707,276.216863
1.30391282,277.5840617
1.319138691,281.2722448
1.334364563,284.9679564
1.346886244,288.0129211
1.359407926,291.0629552
1.371929607,294.1180436
1.39551084,299.8851698
1.419092073,305.6701085
1.442673305,311.4728074
1.466254538,317.2917851
1.471010237,318.4668877
1.475765937,319.6423504
1.480521637,320.8180686
1.490425995,323.2671911
1.500330354,325.7150665
1.510234712,328.1594552
1.51461699,329.2397862
1.518999268,330.3193616
1.523381545,331.3981732
1.52813765,332.5681385
1.532893754,333.7371859
1.537649858,334.9053059
1.551993909,338.4225358
1.566337961,341.9309759
1.580682012,345.430343
1.600372696,350.2130472
1.620063381,354.9620216
1.639754065,359.6771777
1.659444749,364.3628322
1.664489797,365.5604142
1.669534846,366.757447
1.674579894,367.953929
1.692227114,372.1265974
1.709874334,376.260305
1.723200992,379.3497379
1.736527649,382.4253254
1.749854306,385.4932666
1.763180963,388.5526051
1.768413274,389.7514008
1.773645584,390.9488596
1.778877895,392.1449788
1.80990067,399.1952484
1.840923444,406.1584907
1.849696938,408.1114697
1.858470432,410.0573209
1.867243926,411.9960253
1.876295336,413.988649
1.885346746,415.9736771
1.894398156,417.9511164
1.89847709,418.8397524
1.902556025,419.7268439
1.906634959,420.6123864
1.910557523,421.4625191
1.914480087,422.3112188
1.91840265,423.1584846
1.92964357,425.5785515
1.94088449,427.9870722
1.95212541,430.3852782
1.969729867,434.1220356
1.987334325,437.8361029
2.004938782,441.5270431
2.02462208,445.6263354
2.040312287,448.8731166
2.056002495,452.101278
2.071692702,455.310737
2.08738291,458.5014131
2.104898551,462.0410346
2.122414192,465.5570651
2.139929834,469.0498409
2.157445475,472.5251322
2.174961116,475.9880382
2.196634219,480.2571362
2.213890533,483.6441016
2.231146846,487.0199275
2.24840316,490.3844238
2.265659473,493.7374987
2.287275608,497.9215506
2.308891743,502.0875701
2.326666519,505.4997253
2.344441295,508.8996244
2.362216071,512.2872167
2.379990847,515.662442
2.397765623,519.0252536
2.420253739,523.2619199
2.442741855,527.4785411
2.465229971,531.6750274
2.487718087,535.8512794
2.510206203,540.0028421
2.53269432,544.1246803
2.555182436,548.2144009
2.577670552,552.271833
2.600158668,556.2984199
2.603332844,556.8630804
2.60650702,557.4253723
2.609681197,557.9851436
2.61602955,559.0969139
2.622377902,560.1983142
2.628726255,561.2893112
2.643929607,563.8597221
2.659132959,566.3701594
2.674336311,568.8204638
2.689539663,571.210473
2.716798002,575.3441838
2.74405634,579.2828495
2.764364965,582.0900341
2.784673589,584.788198
2.804982214,587.3770444
2.825290838,589.8562948
2.851769932,592.9238077
2.878249025,595.8039924
2.899655825,597.995221
2.921062626,600.0667319
2.924926456,600.4302739
2.928790286,600.792745
2.932654116,601.1543648
2.940381777,601.8753425
2.948109437,602.593304
2.955837098,603.3082816
2.98276746,605.7767097
3.000920958,607.4202672
3.019074455,609.0474061
3.028128987,609.8485985
3.03718352,610.6372632
3.046238052,611.4119955
3.057653452,612.3681221
3.069068853,613.301089
3.080484254,614.2107978
3.101048771,615.7908467
3.121613289,617.2951532
3.142177807,618.7243397
3.162742324,620.0823205
3.183306842,621.3714365
3.203871359,622.5924577
3.224435877,623.7454218
