Component,Mass Kg,CG Position
Total (Rocket),29.92054123,2.330075956
Nose Cone (Helios Mass),1.133980925,0.501164276
GPS Mount,0.078834354,0.12827
Nose Cone Straight Section,0,0.855345
Tube Coupler,0.530703073,0.94234
Payload Tube,0.807394419,1.23444
Payload,2.041165665,0.92724
Payload Bulkhead,0.20386666,1.08458
Main,0.53977492,1.29794
FWD Dog Barf,0.113398093,1.49479
AFT Dog Barf,0,1.6596868
Main Shock Cord Subassembly,0.317514659,1.46304
Weight Plates,0.90718474,1.06914
AV Coupler,0.265674089,1.56464
Static AV Bulkhead,0.175086655,1.53035
Mobile AV Bulkhead (AQ),0.188240834,1.59385
Flight Computer,0.197675555,1.5621
Drogue Bay,0.822741371,1.80594
Elliptical Parachute [Cd 1.55 (2.2 oz) 12.2 in^3],0.067494545,1.86944
Threaded Rod (Retention),0,2.00914
Drogue Shock Cord Subassembly,0.299733838,1.85674
Retractable Rail Button,0.001851327,1.94564
Booster Tube,1.151254388,2.70764
Fins,1.616060168,3.247960792
Aft Truss,0.242309044,3.39344
Aeropack,0.240403956,3.45694
Motor Mount Tube,0.166844235,2.96164
Centering Ring (Carbon Core),0.094144402,3.33248
Centering Ring (Carbon Core),0.094144402,3.0226
Centering Ring (Carbon Core),0.164946662,2.4511
Drogue Coupler,0.163572106,2.04724
Epoxy Fillet,0,1.99136
Epoxy Fillet,0,1.96596
Retention Bulkhead,0.159494258,1.98628
Epoxy Fillet,0,2.43586
Epoxy Fillet,0,3.03784
Epoxy Fillet,0,3.34264
Epoxy Fillet,0,3.32232
Fin set tip to tip expoxy,0.203213921,3.16504
Retractable Rail Button,0.00185034,3.303016
Body Tube,0.043302177,3.38074
Boattail,0.103685454,3.452786503

